index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
Nigeria,0.2709572800233396,0.05469172454598145,159.86699,-171.56757,0.80547136,1.6986269
Ethiopia,0.2827073360632022,0.0774656506893218,185.3997,-165.95258,0.3854466,1.4847367
Egypt,-0.5737084654161362,-0.04256739289410202,-54.42725,133.53563,13.950916000000001,5.7049775
Congo,-0.08385075446543648,-0.12689469847637974,70.8863,84.77266999999999,11.032294,5.265125
Tanzania,0.22739762172703776,0.0644513466174259,145.8851,-165.43866,1.0594593,1.665936
South Africa,0.4529733127391905,-0.08901852478028703,10.728552,-71.85677,5.908599,3.7461712
Kenya,0.3414732584662085,-0.3105788610386417,86.01499,-11.9938965,7.784847,4.36782
Uganda,0.1451504233500451,-0.1222776585027557,79.92475,9.836617,8.294405000000001,4.684537000000001
Sudan,0.17241340851532058,0.20863527479853508,177.3103,-152.49544,0.64259136,1.5403868
Algeria,-0.5255694437544252,-0.04334221772429537,-38.715796999999995,148.84413,13.691529000000001,5.803385700000001
China,0.227143251342664,0.3424732982181023,0.7519064000000001,-266.68268,2.5081227000000004,3.4078337999999997
India,0.10327768701047473,0.5061074424343923,33.524174,-235.04663,1.9336115000000003,3.3128089999999997
Indonesia,0.14143142077081086,0.2982687469847947,15.555151,-250.82204,2.4152913,3.5295537000000006
Pakistan,0.07697193494314901,0.4002808707617617,77.165665,-174.98602,1.291484,3.0191038
Bangladesh,0.29905339169095346,0.3259530596216958,-46.4516,-202.42136000000002,1.7500699,2.8814404
Japan,0.25730088580628896,0.3506112795331538,32.77142,-257.264,2.2438877,3.4837205
Philippines,0.20829849378778525,0.12124125669358687,142.60166999999998,-205.66333,1.0707931999999998,2.0340905
Vietnam,0.12783440374354635,0.4042275951505805,2.106618,-247.44855,2.2042887,3.6144586000000003
Iran,-0.08305279809054236,0.3445294460261535,82.5421,-191.83981,1.2154638,2.906702
Turkey,0.010431735156082108,0.22466155384381464,114.32526000000001,-189.4321,1.2035521999999998,2.4228113
Russia,-0.14784140195204462,0.035090921214379546,89.41292,82.58825,11.0524025,5.08275
Germany,0.2957975806000969,-0.2768934032833573,18.563341,-3.9243531000000003,6.747272,3.906161
United Kingdom,0.6762704772824351,-0.19903767726945432,-68.517235,-49.865303000000004,6.8102307,2.2410479
France,-0.3147575429739558,-0.2505962368543587,55.82869300000001,130.89313,11.716486,5.601946
Italy,-0.5758974583257913,-0.042419952784070174,-165.13278,265.07465,14.590860999999999,3.8600220000000003
Spain,-0.4868532921712857,-0.02823666968019344,-131.91888,233.09118999999998,14.887657999999998,4.2474627
Ukraine,0.05105856102832677,-0.16724973279316935,77.71505,35.646828,8.644212,4.9094343
Poland,0.13993837602306694,-0.1109648345435786,56.50131999999999,16.987254999999998,8.422542,4.800095
Romania,-0.2924929733595297,-0.2294870641151057,30.732522999999997,134.02477,11.933446,5.5078335
Netherlands,0.42342402269324897,-0.3528309443278533,1.901154,-10.802457,6.6536546,3.6687043
Austria,0.2624143726102596,-0.2387525697389902,34.243168,2.6436477000000003,6.7099779999999996,4.170219
United States,0.5727855810147529,-0.13703038159330644,-56.384064,-64.25649,6.66582,2.0426772
Mexico,-0.4651911540700609,-0.015339381619092969,-119.23814399999999,162.73963999999998,14.940112,4.972289599999999
Canada,0.5006232135201868,-0.09508545173299597,-32.77432,-63.300217,6.869331,2.3510058
Guatemala,-0.4027755406682678,-0.013873305656214958,-103.64931,186.00957,14.403443,4.935719000000001
Haiti,-0.1901249207511416,-0.2267045604351867,60.72654,106.28988999999999,11.415045,5.404664
Cuba,-0.507374091130562,-0.03371528921641153,-156.06622,243.92432000000002,14.650124,3.9420466
Dominican Republic,-0.4425041067258297,-0.03588771357130894,7.771750999999999,158.06815,12.627011,5.8588777
Honduras,-0.392266572606812,-0.016443309940981556,-39.92288,201.38101,13.267434,5.3472204
Nicaragua,-0.43024501292615386,-0.02362306525469297,-119.87058999999999,192.52693,14.473678,4.754395
El Salvador,-0.4421250975768593,-0.0238464300587712,-128.99712,207.62547,14.249773000000001,4.801569000000001
Brazil,-0.4459915767109968,-0.012114896532316573,-170.87582,242.3711,14.4312525,3.9626745999999997
Columbia,0.4701990366942849,-0.11682726846522805,15.995403,-57.631012,6.037442700000001,3.9444692000000003
Argentina,-0.3986333233528168,-0.01934623930098392,-32.04691,177.66463000000002,13.471123,5.5483704000000005
Peru,-0.34024796568338783,0.002114148971944525,-53.43877,216.9019,13.942135,4.7777042000000005
Venezuela,-0.42645885367023495,-0.019087906358574814,-109.26923000000001,206.91458,14.673298,4.4854226
Chile,-0.4050253278284707,-0.020006638343387232,-18.207598,209.09077,13.109678,5.7173047
Ecuador,-0.32593286622856,-0.002385873980438977,-58.15815,180.63777,13.039456,5.2552129999999995
Bolivia,-0.3447851511572017,0.00046725470344804055,-82.02221999999999,180.32394,14.442974,5.1208587
Paraguay,-0.38711548482332425,-0.020193974601283846,-14.461367000000001,173.50627,12.863383,5.685378
Uruguay,-0.40773069549418384,-0.026373236760757625,2.492612,180.05067,12.855908,6.0260169999999995
Australia,0.4987584295645314,-0.09189358211085608,-44.573082,-75.41672,6.504615,2.3354150000000002
Papua New Guinea,0.34507675698122203,-0.018243559757477733,21.05331,-99.430984,5.262459,3.6563401
New Zealand,0.6218158417740023,-0.18656891929723735,-39.29157,-43.197617,7.018138400000001,2.5724635
Fiji,0.3110702328672129,0.10593064812232614,40.536476,-136.70583,4.38998,3.5221767
Solomon Islands,0.35215325804175857,-0.0488636145437007,30.884591999999998,-88.60399,5.4662004,3.7649288
Vanuatu,0.1802267237131472,-0.04554054601294999,60.008793000000004,-116.23071000000002,4.608745,3.7047162000000005
Samoa,0.28304466455156835,-0.026788404060306237,71.79184000000001,-107.04784,4.741754,4.005205999999999
Kiribati,0.00861080279990281,-0.15020743652345225,73.478546,50.403973,8.952103999999999,4.9275107
Micronesia,0.15903749194026706,0.14788916613100295,138.4002,-183.15431,1.1451288,1.8399246
Tonga,0.3414306030776412,0.042048739472105474,24.247625,-116.975136,4.927316,3.6558072999999998
