,country,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,heterosexual,0.9347998006784268,0.006240569506597595,True
1,Nigeria,straight,0.2178345051047716,-0.047253978396911145,False
2,Nigeria,homosexual,0.1813050129981544,0.008345896858549261,True
3,Nigeria,gay,-0.1091880667687322,-0.04202584390558937,True
4,Nigeria,lesbian,0.2843647884713503,-0.05003696494901055,False
5,Nigeria,bisexual,1.021099747913762,-0.037277820199409416,False
6,Nigeria,bi,0.3254339523287403,-0.19580404767695891,False
7,Ethiopia,heterosexual,0.11388275344106046,-0.05181380552653795,False
8,Ethiopia,straight,-0.3677998681845966,-0.06991285621197492,True
9,Ethiopia,homosexual,-0.29614066520536897,-0.07632514050289603,True
10,Ethiopia,gay,-0.5200594874114963,-0.07871923749092287,True
11,Ethiopia,lesbian,-0.219888822697156,0.11211019417662307,False
12,Ethiopia,bisexual,0.3869506712962108,0.009785417629622057,True
13,Ethiopia,bi,0.14212480355888393,-0.08887085179320019,False
14,Egypt,heterosexual,-0.3038363570320443,-0.285813350256775,True
15,Egypt,straight,-0.6703259033050406,-0.10854247272669992,True
16,Egypt,homosexual,-0.08352923415945109,-0.3684535924208128,True
17,Egypt,gay,-0.33763437468363405,-0.2439736252766868,True
18,Egypt,lesbian,-0.350946958688773,0.3171314332324923,False
19,Egypt,bisexual,-0.2837399174245779,-0.016630656705945948,True
20,Egypt,bi,-0.12302321760258365,-0.040493305325159566,True
21,Congo,heterosexual,0.29015620597580205,-0.06302994880147261,False
22,Congo,straight,-0.3736141265604684,0.11970512133445045,False
23,Congo,homosexual,0.15934577299572605,0.003944228007436433,True
24,Congo,gay,-0.053778079458652935,0.12370413580147277,False
25,Congo,lesbian,-0.18458480313188824,0.04596179005553566,False
26,Congo,bisexual,0.7198804770038185,0.017525422849988034,True
27,Congo,bi,0.3808415076951968,0.07765337746462407,True
28,Tanzania,heterosexual,0.40873262943956057,0.08495058147652924,True
29,Tanzania,straight,-0.32948108535886617,-0.03412514335695624,True
30,Tanzania,homosexual,-0.19373112176483032,0.10660938120831484,False
31,Tanzania,gay,-0.4136065516497405,0.022671997613147626,False
32,Tanzania,lesbian,-0.2451625207978112,-0.052036666330462764,True
33,Tanzania,bisexual,0.6377784069876093,0.0267400665831587,True
34,Tanzania,bi,0.5825814206430519,-0.09838169079670367,False
35,South Africa,heterosexual,1.3434539317964025,0.1626858035405652,True
36,South Africa,straight,0.31857397489792033,0.19537515236603128,True
37,South Africa,homosexual,0.5898323366874482,0.19289027011725707,True
38,South Africa,gay,0.5640251160917991,0.2292422385370395,True
39,South Africa,lesbian,0.7135957334555245,-0.04194059494382134,False
40,South Africa,bisexual,1.3363501220570788,0.0678844776736148,True
41,South Africa,bi,0.9383806039276192,0.018056132218259847,True
42,Kenya,heterosexual,0.67420841002498,0.11814512905981946,True
43,Kenya,straight,-0.0072794047500939485,0.223389503648802,False
44,Kenya,homosexual,-0.08467351548314406,0.2008748294305472,False
45,Kenya,gay,-0.08992915287545097,0.24936909161077125,False
46,Kenya,lesbian,-0.07435716606982276,-0.12723687674800013,True
47,Kenya,bisexual,0.5989043354671701,0.012841847112738879,True
48,Kenya,bi,0.4772619427697291,-0.0734140100483149,False
49,Uganda,heterosexual,0.4605409765288392,0.05070865229507312,True
50,Uganda,straight,-0.18618144120661032,0.08832874201258697,False
51,Uganda,homosexual,-0.16161585483773466,0.12778425495974371,False
52,Uganda,gay,-0.1422599676573736,0.1251964186832455,False
53,Uganda,lesbian,-0.08385928452265133,-0.1401814370082444,True
54,Uganda,bisexual,0.7562864508757584,-0.026110102667890246,False
55,Uganda,bi,0.35435342416108084,-0.14469904307263226,False
56,Sudan,heterosexual,0.3874826965970735,-0.09654071349346127,False
57,Sudan,straight,-0.4720010801510182,-0.034310166667728466,True
58,Sudan,homosexual,0.2102200762194802,-0.08727038485891925,False
59,Sudan,gay,-0.11100925901010962,-0.06574823597877308,True
60,Sudan,lesbian,0.0113191937195759,0.08116391103039845,True
61,Sudan,bisexual,0.5538266393977176,-0.006206742563446816,False
62,Sudan,bi,0.057766474331687724,-0.11626313780844055,False
63,Algeria,heterosexual,0.08147269026225135,-0.07147796882233258,False
64,Algeria,straight,-0.4209409876920498,-0.14752448758469874,True
65,Algeria,homosexual,0.0699225424689997,-0.0938029232741324,False
66,Algeria,gay,-0.1307357990639763,-0.08198304028405379,True
67,Algeria,lesbian,0.3181109715719754,0.2583290071094659,True
68,Algeria,bisexual,0.5827340881916434,0.08951171197561412,True
69,Algeria,bi,0.6316440159719645,0.08970605456473563,True
70,China,heterosexual,0.293471736334062,0.01573025540349261,True
71,China,straight,-0.5463695600748628,0.07604553502326336,False
72,China,homosexual,0.2434417416006529,0.014986944253538362,True
73,China,gay,-0.2510680251965165,0.047958423764831636,False
74,China,lesbian,0.042762702422139136,-0.04378994640914381,False
75,China,bisexual,0.7224068105319471,-0.007421538097354486,False
76,China,bi,-0.0008996500001639869,0.017256951694102518,False
77,India,heterosexual,-0.2499039932241985,-0.15205557111006412,True
78,India,straight,-0.3139932702471281,-0.019787354117407258,True
79,India,homosexual,-0.35968408157172704,-0.15711620516091573,True
80,India,gay,-0.13753472089032434,-0.05299746044380447,True
81,India,lesbian,-0.22005008067744533,0.03964683299449854,False
82,India,bisexual,0.3556088778394605,-0.07930992368838116,False
83,India,bi,0.3304665301638353,-0.06509952119383974,False
84,Indonesia,heterosexual,0.6744981144543782,0.051262852466467765,True
85,Indonesia,straight,-0.32518790479742643,0.006307403511460127,False
86,Indonesia,homosexual,0.2955243315642672,0.053258167230982124,True
87,Indonesia,gay,0.04893248744803392,0.07608603508597643,True
88,Indonesia,lesbian,0.19384315830307364,0.09873941584424156,True
89,Indonesia,bisexual,1.0072922171998375,0.09437630149189123,True
90,Indonesia,bi,0.2191809233885565,0.0777795258467325,True
91,Pakistan,heterosexual,0.4034950096898351,0.00893208388444643,True
92,Pakistan,straight,-0.2303039356611723,-0.040771338607918366,True
93,Pakistan,homosexual,0.18142954922519755,-0.015541583728633929,False
94,Pakistan,gay,0.24073852881552105,-0.030416249375677495,False
95,Pakistan,lesbian,0.29100111685304103,0.028670785289382036,True
96,Pakistan,bisexual,0.3161186675928371,0.007047499034663734,True
97,Pakistan,bi,0.4755055493297716,-0.06922265109840993,False
98,Bangladesh,heterosexual,0.02506385370408409,0.032382414895659184,True
99,Bangladesh,straight,-0.3041146251375028,0.01238210064814352,False
100,Bangladesh,homosexual,-0.4765467321175144,0.07011383922535354,False
101,Bangladesh,gay,-0.329650024544519,0.020332907838439336,False
102,Bangladesh,lesbian,0.11268193571453584,-0.15952279862726568,False
103,Bangladesh,bisexual,0.4976719244553993,-0.06554406566906068,False
104,Bangladesh,bi,0.5868929148657172,-0.118543102317609,False
105,Japan,heterosexual,0.8198868748737949,0.033412906287131214,True
106,Japan,straight,-0.25188539973710666,0.08107962093298955,False
107,Japan,homosexual,0.3405555236690188,0.039220782148482916,True
108,Japan,gay,-0.015718741280703587,0.11420071501553143,False
109,Japan,lesbian,0.3718469952619909,0.05750194420409273,True
110,Japan,bisexual,0.9582976725087148,0.03182766586604795,True
111,Japan,bi,0.6236321926525199,0.12097463542045415,True
112,Philippines,heterosexual,1.0853185199311073,0.055413106862485406,True
113,Philippines,straight,-0.14843390939805984,-0.10172793982468564,True
114,Philippines,homosexual,0.480178135271536,0.06996035734007669,True
115,Philippines,gay,0.3953431310297674,0.028839618588986437,True
116,Philippines,lesbian,0.7509199089570103,-0.0342114370689104,False
117,Philippines,bisexual,1.2990422430800228,-0.017838253437440457,False
118,Philippines,bi,0.8138961962731488,-0.10876190168694208,False
119,Vietnam,heterosexual,0.3012688718569949,0.005100165350978981,True
120,Vietnam,straight,-0.467435129088753,0.039422488137662165,False
121,Vietnam,homosexual,0.21284799463214854,0.02734943510863609,True
122,Vietnam,gay,0.37324251213688,0.12618500080710776,True
123,Vietnam,lesbian,0.5360325291599092,0.056153573472958296,True
124,Vietnam,bisexual,0.7007152539548518,0.03412558548888637,True
125,Vietnam,bi,0.3156451520346168,0.11296281711611048,True
126,Iran,heterosexual,0.04667393602366679,-0.12683662907212725,False
127,Iran,straight,-0.4215570227078321,-0.11628714245381433,True
128,Iran,homosexual,-0.02763629499801291,-0.20722967065779754,True
129,Iran,gay,-0.3232071073368716,-0.14169362088502152,True
130,Iran,lesbian,0.3420676556265251,0.25456576246707663,True
131,Iran,bisexual,0.3373266701010965,0.05188465477286936,True
132,Iran,bi,-0.03364266690311115,-0.026151524204951586,True
133,Turkey,heterosexual,0.22548553245184105,0.046088049878370056,True
134,Turkey,straight,-0.3804630554370074,-0.06304805693296255,True
135,Turkey,homosexual,0.1499981417291729,0.029112467407065305,True
136,Turkey,gay,-0.1526604876629911,0.015579247332215166,False
137,Turkey,lesbian,0.3019737413457005,0.14677741866692898,True
138,Turkey,bisexual,0.5657454921757611,0.10647594356662513,True
139,Turkey,bi,0.26875303501284553,0.03314436593973083,True
140,Russia,heterosexual,0.8522284027589943,-0.06658342401490526,False
141,Russia,straight,-0.2289638467989125,0.012208586857366352,False
142,Russia,homosexual,0.5277436586766246,-0.14019256835777974,False
143,Russia,gay,-0.09068064615488353,-0.04158927388420558,True
144,Russia,lesbian,0.5883058390471041,0.32065368976075376,True
145,Russia,bisexual,0.9226610412756246,0.13185300613375314,True
146,Russia,bi,0.14587227447269993,0.11366259918324995,True
147,Germany,heterosexual,0.29360044503610816,0.190068031227797,True
148,Germany,straight,-0.1644840310024684,0.3140111893825166,False
149,Germany,homosexual,0.20459467389673602,0.196984054542174,True
150,Germany,gay,0.005531708766868274,0.3427479110669976,True
151,Germany,lesbian,0.6262021356495833,0.2251923974023306,True
152,Germany,bisexual,0.7371384868297937,0.26272365160530914,True
153,Germany,bi,0.6167287766218562,0.32351170586350264,True
154,United Kingdom,heterosexual,1.338398405195336,0.27098597246659056,True
155,United Kingdom,straight,0.20869273067757332,0.2767509099982032,True
156,United Kingdom,homosexual,0.5412110631145362,0.32622560557554103,True
157,United Kingdom,gay,0.17668660080016296,0.2582169373221138,True
158,United Kingdom,lesbian,0.8380257432916108,-0.2271118196329166,False
159,United Kingdom,bisexual,1.4776607206864374,0.06992766561262817,True
160,United Kingdom,bi,0.5141159132088085,-0.06064566034438064,False
161,France,heterosexual,0.5437651026780967,0.07090087583272695,True
162,France,straight,-0.27725182149168504,0.05817630602600581,False
163,France,homosexual,0.4700327037177454,0.07743702157699434,True
164,France,gay,0.4817358264241833,0.19147643411380413,True
165,France,lesbian,0.7556898650831174,0.2759000032022221,True
166,France,bisexual,0.9142973500891876,0.18886642499258247,True
167,France,bi,1.0039996716307444,0.2999691258028126,True
168,Italy,heterosexual,0.14551819770965665,-0.08673814764858745,False
169,Italy,straight,-0.22361300608690252,-0.08174494815731659,True
170,Italy,homosexual,0.2905065019162935,-0.14033972067045528,False
171,Italy,gay,0.1334252589306223,-0.0146831749366653,False
172,Italy,lesbian,0.3532738908662879,0.409459815216126,True
