index,sexual_orientation_isomap_x,sexual_orientation_isomap_y,sexual_orientation_tsne_x,sexual_orientation_tsne_y,sexual_orientation_umap_x,sexual_orientation_umap_y
Nigeria,-0.01692058992720955,-0.450368701667171,-59.29631800000001,119.5382,7.323894,3.7388537000000004
Ethiopia,0.2302268214658406,-0.3740636686979476,-92.17571,107.21243999999999,7.9992199999999976,4.229555599999999
Egypt,0.7257635128203603,-0.3450741977284548,-139.61754,-147.43881000000005,10.070839,9.559412
Congo,-0.12635439141917526,-0.031052533077744894,159.90585,-112.64953600000001,-1.6515145,7.51128
Tanzania,-0.1403604173248048,-0.3182649902776543,-48.206516,142.18433000000005,7.156491,3.5541382000000006
South Africa,-0.4837974155103231,0.08241068343380592,75.28052,119.93973999999999,-3.9904847,6.7311625
Kenya,-0.5984330042835595,-0.08969804471422788,59.815224,133.44873,-4.388968,6.5859914
Uganda,-0.37946458805778427,-0.3450652402264598,-4.6791363,137.47666999999998,2.610731,3.9844306000000014
Sudan,0.21191736026488656,-0.41797928608308615,-102.18216,114.44475600000001,7.974332,4.195711599999999
Algeria,0.4327393350631309,-0.026450666989069848,-104.82019,-147.60425,9.386678999999999,9.832122
China,-0.11854685780670735,-0.2208708474590567,151.2971,-134.52731,-1.9209048999999998,7.158875999999999
India,0.2490643832849521,-0.5003096609761627,-113.03053,104.71047,8.032029,4.2460365
Indonesia,-0.03630585639009947,0.02712791908320357,107.83218000000001,-116.87846,-1.6606534,6.6324770000000015
Pakistan,0.05106563590168051,-0.35702444340193684,-80.19638,118.345375,7.607807000000001,3.9323974
Bangladesh,-0.2359659276354241,-0.4084906528368814,-28.637663,134.59705,6.970414,3.5253514999999997
Japan,-0.1245388747959365,0.009511608184160868,134.04605,-105.40118000000001,-1.8830607,7.0774029999999994
Philippines,-0.08389011242044578,-0.3948965219997314,-58.615517000000004,135.91026000000002,7.389760499999999,3.793921
Vietnam,-0.1003828903283682,0.013237880082082805,141.04314,-115.05282,-1.7253287,6.9870534
Iran,0.4826250142592255,-0.2815859142309048,-123.4153,-148.91714,9.608977000000001,9.6007
Turkey,0.08849418948696616,0.0593206326403009,64.26205999999999,-126.82886,8.444586,12.133227999999999
Russia,0.5014945723516513,0.14104358037372267,-121.39193999999999,-90.96343,11.171936,9.813619000000001
Germany,-0.2528750134038872,0.5824167592255528,130.99147,28.132748,4.885388,11.766289
United Kingdom,-0.6970781796160497,0.05913596478784847,132.00298999999998,152.14813,-4.715319,7.0762825
France,0.09299840464873224,0.42016282068174254,110.75535,2.9386873,5.0112615,11.30752
Italy,0.5165039408280715,0.20492772502488288,-76.334496,-52.24125,11.097325,10.562272
Spain,0.4535906632221064,0.2079348365826424,-66.15141,-58.62956,11.002101,10.6391945
Ukraine,-0.07569214374198288,0.07802999827913419,166.9741,-86.32209,-1.1406732,7.415238
Poland,-0.17020289803000202,0.39229632010377263,116.71718,17.053522,4.871557,11.461477
Romania,0.1956747807093996,0.08190255414382339,43.66131,-131.37198,8.656116,12.04566
Netherlands,-0.6463082853770079,0.4314622528257742,100.78730999999999,171.64703,-4.224469,7.405778999999999
Austria,-0.27547624488917644,0.5112364084014969,117.5603,30.379868,4.7851706,11.5957575
United States,-0.6975810110977031,-0.09841805524650764,144.10329,152.12305,-4.7848,6.9952335
Mexico,0.5507188586599022,0.11762343120943967,-105.71665,-61.51721,11.08732,10.132216
Canada,-0.6142348774554446,0.16522186613453874,99.15729,151.42711,-4.0815706,7.148953999999999
Guatemala,0.3597084866230874,0.0423617145019612,-79.09439,-129.5472,9.598135000000001,10.345939999999999
Haiti,-0.1549342328313686,0.09840629670653656,152.35849,-98.43193000000001,-1.4015898,7.2818704
Cuba,0.4587484775772833,0.11916047237414075,-93.90534,-77.2372,10.85621,10.017859
Dominican Republic,0.3078102634699056,0.12871401547573375,-15.1124,-117.44511000000001,9.730400999999999,11.837008
Honduras,0.3022149530262708,0.04332017590714224,27.354022999999998,-148.78018,8.734297,11.777294
Nicaragua,0.3999752071548863,-0.08340411586274772,-89.96093,-156.37102,9.201883,9.938778
El Salvador,0.4404414198964813,0.09168141500733526,-90.75672,-91.86202,10.724521000000001,10.284467999999999
Brazil,0.4761425923464554,0.11756173626152815,-106.73768000000001,-79.63532,10.780783,9.892173
Argentina,0.3520150583609292,0.12812108403499425,-58.84907,-110.416504,10.179302,11.068152
Peru,0.3931465469731935,0.08227568979051987,-73.376396,-114.84586999999999,10.122129,10.57503
Venezuela,0.39442029217059066,0.0017493267954400873,-87.26552,-140.40016,9.450147,10.154808000000001
Chile,0.3392987427971423,0.2316362705620819,-33.100636,-106.79652,10.012715,11.595410000000001
Ecuador,0.2111783519168171,0.08585192403950209,30.644133,-133.81101999999998,8.776968,11.922953
Bolivia,0.2614730691996248,0.11487223693306076,-2.3001966,-123.95208000000001,9.210028999999999,11.928613
Paraguay,0.2830744596127021,0.17993814046270232,3.7777462,-111.35493999999998,9.381089999999999,12.065136
Uruguay,0.2111842364678917,0.17785271319838122,18.26701,-107.18153999999998,9.241026,12.217576
Australia,-0.4983031373257871,0.016408613888457386,82.105675,132.76766999999998,-4.1454406000000015,6.441771
Papua New Guinea,-0.4829781122882975,-0.2351227341597208,25.803335,143.4011,2.2634522999999995,3.8448867999999994
New Zealand,-0.6710929895525979,0.12271262787399333,112.02245,153.99402,-4.4414277,7.2455525
Fiji,-0.4582812755283086,0.03123255318483608,84.25831,110.81161499999999,-3.8509305,6.311916
Solomon Islands,-0.2972789791292088,-0.02319693358299271,98.48364000000001,98.56900999999999,-3.43479,6.2545886
Vanuatu,-0.3233773332314218,0.07601411907709428,69.32324,99.29948399999999,-3.7487776,6.4564775999999995
Samoa,-0.5007374602966775,-0.27446808082683066,10.514608,136.52866,2.412554,4.0290947
Kiribati,-0.1329344034964195,0.02731481571983511,176.68355,-98.01947,-1.2988001,7.6006284
Micronesia,-0.1272705507666806,-0.03420437037704109,117.219284,-125.26361999999999,-2.1171889999999998,6.6046886
Tonga,-0.4521115766023055,-0.19217952257087226,25.132683,130.73238999999998,2.2058197999999996,4.0062050000000005
