index,yob_isomap_x,yob_isomap_y,yob_tsne_x,yob_tsne_y,yob_umap_x,yob_umap_y
Nigeria,0.2910688842281149,-0.3912422464331277,-74.02334599999999,73.285065,9.186816,3.393326
Ethiopia,-0.05111099047059425,-0.20250025841819205,-46.971379999999996,66.298325,9.881314,3.5422050000000005
Egypt,-0.4525976342917157,-0.3031974276026133,-14.399384,92.38984,10.066924,3.5978756
Congo,-0.50317066163234,-0.8415508837650546,-15.826835999999998,-85.4641,10.481296,1.991368
Tanzania,0.2634401870548685,-0.1477614560710244,-140.55688,2.5285861,8.438952,3.0456827
South Africa,0.6618006166286279,-0.16985404206083735,-208.83635,-39.322193,7.012897,3.395632
Kenya,-0.4162697263964253,-0.5620973350077577,11.230738,-13.008485,10.531881,2.6571572
Uganda,-0.3659650086453384,-0.633023467835688,5.716495500000001,-62.56978,10.489708,2.3824389999999998
Sudan,-0.381657610861697,-0.2301451182878311,-27.868615999999996,46.614124,10.144133,3.4118497000000003
Algeria,-0.7870138228675168,0.04348507828878854,189.34282,203.89656000000002,15.483670000000002,1.1270803
China,1.2962362170587995,0.010068308812312908,-307.23026,-24.52509,6.7252455,4.6032157
India,0.6288820706985875,0.9093300907019399,4833.1934,617.59924,4.589126599999999,5.081628
Indonesia,1.1685027541859478,0.11460325034936432,-275.24133,-40.475426,6.559353,4.4225802000000005
Pakistan,0.6765186549450722,0.80389207065098,-6671.8833,-2370.36,4.5449395,4.7571692
Bangladesh,0.3717147563062482,-0.25055628923416995,-135.90237,-21.272614,8.436324,2.9256818
Japan,1.2544783341778198,0.3778453005911952,-291.5925,-54.257346999999996,6.747615,4.662056
Philippines,0.5899391281218946,0.3357649180545412,-168.7104,-152.8436,4.932399299999999,4.5607114
Vietnam,1.0509622459886283,-0.2636687481653107,-282.7075,12.440961,7.085866,4.216469999999999
Iran,0.603391109086181,1.1887711314529916,122.89916000000001,-286.08853,4.484751999999999,4.955707
Turkey,0.14682071110140835,0.8729837165047394,-139.39503,-169.33102,4.853688,4.799741
Russia,-0.4275635204031737,0.17032994723908074,27.755740000000003,129.79596,14.232954999999999,2.8524501
Germany,0.035800932029360064,-0.18559312069863956,131.30368,-101.71515,11.638569,1.076247
United Kingdom,0.6478650376238849,-0.7385496098811848,-219.30756,70.7676,7.838077,3.5754297
France,-0.368247636338382,-0.4348361884418587,81.87872,-67.50783,11.354427000000001,1.3833389999999999
Italy,-0.4754884358812913,0.13685019184254446,87.48955,176.13213000000002,14.705438000000001,2.1015553
Spain,-0.5753380388494073,0.4324232610340292,121.09579,97.28205,13.770102,1.577812
