index,accountant,air traffic controller,architect,artist,attorney,baker,banker,bartender,barber,barman,barmaid,bookkeeper,broadcaster,builder,businessperson,businessman,businesswoman,butcher,captain,carpenter,cashier,chef,coach,cook,computer programmer,dancer,dental hygienist,denstist,designer,developper,dietician,doctor,economist,editor,electrician,engineer,farmer,filmmaker,financier,fireman,fisherman,flight attendant,gardener,guidance counselor,hairdresser,homemaker,housekeeper,interior designer,jeweler,journalist,judge,lawyer,librarian,maestro,magician,mason,mechanic,musician,nanny,nurse,nutritionist,optician,painter,pharmacist,philosopher,photographer,physiscian,physician's assistant,pilot,plumber,police officer,policeman,politician,postman,professor,programmer,psychologist,receiptionist,salesperson,scientist,scholar,secretary,server,singer,skipper,soldier,socialite,stylist,surgeon,teacher,therapist,translator,undertaker,veterinarian,videographer,waiter,waitress,warrior,writer
1,-1.121390150349723,-0.21856853193014558,-1.6641291972034138,-1.6545555259246714,-1.214045798697786,-1.5533779300079702,-2.050947861697766,-1.2276621230317823,-1.5668252778809308,-1.5340357809411058,-1.0919733357611223,-1.0903927914971134,-1.39590355209064,-1.286505924379144,-1.862348628385787,-1.9434989530067825,-2.003226113932817,-1.460267682116039,-0.91264072559752,-1.3259107892639828,-0.46969870364188077,-1.373905401399224,-1.4611226458676148,-1.504677160328503,-0.5877822903400165,-1.3699788366867132,0.11369488822234894,-0.9176467052207868,-1.3122361208350497,0.5409611041616821,-1.1007643481158171,-1.9993906745720513,-1.803079837496238,-1.7856878221767276,-0.765922640443982,-1.4697747411622524,-1.580201846340585,-2.212644914823879,-2.0200211196991766,-1.2881906486374948,-1.0149181400590175,-0.5997363314635608,-1.145782412759122,-0.9427927503397112,-1.1038133264086087,-1.0295232772197302,-0.7228830527519634,-0.9417038612582026,-1.4949703604476154,-1.8992006408850353,-2.009978004837565,-1.7739857379129063,-1.2521263898519388,-1.3418057429998225,-1.6197242538090784,-1.267735303973353,-1.4412102680150292,-1.744635547090834,-0.31011391363968877,-1.252425144756227,-1.256960710483453,-1.1179120551292223,-1.7919706091681602,-1.0742555851365452,-1.5283260265639371,-1.5551366616443028,-1.4283549415945964,-0.4278911759003355,-1.1125825720530576,-0.954824235784817,-1.273247831898947,-2.074132600731879,-1.7020027407096994,-1.038038411718549,-1.9785600439434676,-0.9179247310094478,-1.9313708516209334,-0.36254811802399906,-0.8130537508921831,-1.4347470134244948,-1.8370336845833117,-0.8999212936273646,-0.48849777213926443,-1.270041973641506,0.052280311826660965,-1.7013421787343117,-1.4526707153598657,-1.447506920238905,-1.8409883421363518,-1.7474785751981463,-1.772886234911148,-1.4203390742921813,-1.616226835011045,-0.7424112752395357,-1.4156419493962078,-1.5407751310265616,-1.1671231894138883,-1.214151427482663,-1.7845014563745907
2,-2.0842442358359583,-1.243588349267341,-2.683558862270646,-1.8698216466280062,-2.4597754650727017,-1.9058907092652853,-2.8317670009205336,-1.6152741098856314,-2.0407456060658866,-1.8993406836727236,-1.1156630224445874,-1.8168786048738585,-2.1707393977979743,-1.9488767335158212,-2.9979261348334747,-3.0622760705412047,-2.7461584793956866,-1.8160814986867466,-1.849154830334429,-1.8400803800713244,-0.9306853958042659,-1.9375116377495267,-2.2664261164895794,-1.7117477741992282,-1.5912463551464393,-1.2917762872384742,-0.6940940162164658,-1.1980979277937704,-2.1012900075072527,0.9918050967674675,-1.7955043986889412,-2.4502768875621133,-2.954449682413353,-2.68228965215502,-1.5208093612208908,-2.405692981648189,-2.0105153078960796,-2.6860310937685816,-2.937356500321884,-1.7989970234099024,-1.4899449338982138,-1.1710942435006135,-1.3583003100355038,-1.6793196265910257,-1.5713236319942525,-1.4280298040638186,-0.890094452635311,-1.8952592770257477,-2.188386177171857,-2.7183766222432633,-2.5036676004359384,-2.8918561831701943,-1.888763314623458,-1.5856517668227617,-1.7102362144258483,-1.5212352163563518,-1.9890680217251904,-2.0052278801411973,-0.17221308678304215,-1.707240375508688,-2.0666795279961447,-1.7233417969781069,-2.2242361209072317,-2.007252320062707,-1.745871209835891,-2.2467913927790346,-1.9360466849377516,-0.9453186472929052,-1.808216614409844,-1.7449834031013747,-2.169475043226357,-2.7891836236501004,-1.9576038003392962,-1.3252043504898885,-2.8543061615714853,-1.7336513699661438,-2.690486142400504,-0.7496717376759139,-1.7283199630317436,-1.7960139645691422,-2.0345451498352753,-1.5306686738613038,-0.7022630817249157,-1.4307328057712225,-1.000411175383036,-1.7798612370723856,-1.7847029562414443,-2.0399084961481346,-2.50700414899104,-2.3715798580936074,-2.399165320540143,-2.016669539965655,-2.06842935160594,-1.5766458290703649,-1.900818821703137,-1.712082794886694,-1.263578036369591,-1.0918065921019182,-2.346820700989127
3,-2.2988654265423962,-1.4059769410030858,-2.7932492179209016,-1.775024706126944,-2.662259742111082,-1.928629642062326,-2.9882427222530628,-1.7721098265262443,-2.084616240192746,-1.9534102359337482,-1.1435555596274003,-1.9446047603959171,-2.254668978556795,-1.9331326212217168,-3.05788552815514,-3.2282895223730876,-2.733078807956389,-1.9961076439263714,-1.8947607041866241,-1.9498137351637128,-1.1494318039435985,-2.0831740484205032,-2.304656653438609,-1.7329249938862663,-1.9274777420341314,-1.17452623993275,-1.196184960724301,-1.2494405600489786,-2.0549148188542747,0.9479985986876691,-2.1097163902668714,-2.5739614188044193,-3.1982214813352043,-2.7361252182406854,-1.7389449438224802,-2.5998937810056035,-2.0041330086435374,-2.7205851854261693,-3.1358025682325397,-1.9830889019053124,-1.4943347205159838,-1.233347705688736,-1.2408187220649733,-1.9571936878757712,-1.7661771837728302,-1.565307454354772,-0.9584420978376115,-2.117704988406228,-2.2133198895917356,-2.908752799710879,-2.374651476104247,-3.0511650840234403,-2.0860521122849596,-1.6083123478304338,-1.5316446073529544,-1.4546151967099508,-2.063110695501497,-1.9581073263690767,-0.2463031175789235,-1.8835291042501914,-2.3661756928031785,-1.9698800466818986,-2.180371261124188,-2.297225758915158,-1.598075579810763,-2.3042337719497277,-2.053348328768807,-1.2448194269672714,-1.9179614795369293,-2.0199127865292055,-2.3159027675343866,-2.81817163630528,-1.9305372326402663,-1.3703714183665954,-2.8946161235946377,-1.9467007490506043,-2.909008580704876,-0.8909744629067139,-1.875331229630104,-1.7266707478781158,-1.7905607590197563,-1.6744466843128643,-0.8371741232033434,-1.3737649249456734,-1.2012330917807141,-1.7526164967518347,-1.7940031765206266,-2.140543067058674,-2.6266271029499655,-2.339727676872502,-2.58897042307807,-2.1864629741227493,-2.1626294081797064,-1.8348597656606302,-2.0154139678094847,-1.855658747561429,-1.433582210594204,-0.8512205860442905,-2.3745736732834675
4,-2.4390084858033263,-1.6647879103356955,-3.059030420925543,-1.6054885669315855,-2.8964575405717556,-1.8931204216762931,-3.00635067245308,-1.7043770985366105,-2.1203421374662264,-1.928844532688698,-1.1525682688758923,-2.0236423312200773,-2.3017400856495134,-1.9988544711227307,-3.125828900528731,-3.2889815701442267,-2.8676748321939503,-1.9600174459641853,-2.042453723287983,-1.9039889987095757,-1.2732937331953174,-2.102125891912051,-2.3546340173422666,-1.693525014682908,-1.9643121915280846,-1.0129839300746017,-1.511829083601277,-1.2363609170503571,-2.135473033518003,1.0303687334565665,-2.4056623962343506,-2.7492230164391636,-3.336166715800953,-2.8768563612596747,-1.9504443659087363,-2.7673298188361,-1.9519255568322007,-2.76912638649374,-3.2452492508758493,-2.002306778022987,-1.3360455554135284,-1.4803411040782501,-1.1724884074121176,-1.9212950708221261,-1.9623825123550958,-1.5712147546948858,-0.9944841728844964,-2.4548388767236538,-2.33159420885275,-2.9798895983695224,-2.563687507936013,-3.224992538794521,-2.0917901407214976,-1.769590225165305,-1.5469663903739688,-1.4834042412977966,-2.1408479641203506,-1.7542608785910723,-0.09691533095497783,-2.099603975618844,-2.679585797545659,-2.3061465927809612,-2.135714041560023,-2.5330348751646263,-1.72671249516483,-2.345769181683096,-2.2004093385750143,-1.5494492781795874,-2.0424302345237035,-2.162445912206994,-2.393544464008965,-2.840567138784358,-2.0123969524440435,-1.378772289583536,-3.055158198899352,-1.8637325921034344,-3.0378031198674775,-0.8192636788735127,-1.9395125685384813,-1.8595337718909573,-1.8088042880424404,-1.7849514663458268,-0.6232301759079758,-1.2401147646212154,-1.1912448502995059,-1.8705670971145383,-1.82780438837256,-2.2217782752525035,-2.837389805994891,-2.4518046048326814,-2.6878493994751045,-2.2038724871944453,-2.35694668245817,-2.0453537690637926,-2.0472881083585106,-1.8537644513290517,-1.4744502339428267,-0.9264345267796947,-2.1583044092539208
5,-2.6336036874178435,-1.8312239632020793,-3.1387123646266084,-1.5412827966715597,-3.054034961921965,-1.7809751727477754,-3.203267939437308,-1.734893116469645,-1.9562499584481854,-1.9186989900920703,-1.077947564876617,-1.9582191229170858,-2.386689619994862,-1.9933440384256151,-3.2304753095535146,-3.4015699245873883,-2.8655439901848645,-1.9010550239359105,-2.195805239108299,-1.8745095540191192,-1.1205072290180986,-2.1280214468252856,-2.4726247403851542,-1.5062883604330588,-2.295007509097456,-0.8395691707505993,-1.6246056399581066,-1.2485037223247504,-2.2961057135841836,0.8791359438209494,-2.5264063440693376,-2.864016493241221,-3.6229602294283167,-2.893551466259696,-2.028377582923228,-2.9853167867480255,-1.908125398637303,-2.7790179797889603,-3.3900102008797943,-1.946431973444671,-1.186548067740067,-1.5495272266156452,-1.0557722728402699,-2.0354762792754806,-1.8403177220316962,-1.5126452688057987,-0.8483504069336868,-2.68098726214539,-2.2683449484770244,-3.0738281336253133,-2.500267877370313,-3.315784234580192,-2.002779983781068,-1.7618640914172523,-1.3988494513641405,-1.4347679657219552,-2.1766129731756405,-1.6553026358168452,0.03442859578755792,-2.0994048168026826,-2.746489594544201,-2.348358362926774,-2.0345848890082388,-2.5381553856227654,-1.7503617621639367,-2.4614194818176687,-2.2998032489058082,-1.6566490304560855,-2.1680030030742587,-2.2699105137756357,-2.5640637859980138,-2.8633535553774383,-2.1109810368510398,-1.1849515306266978,-3.283242376402119,-2.1831437620734473,-3.265667669939396,-0.859881186772153,-2.0642539481274436,-1.8128413189442774,-1.7378526147631104,-1.8472795182282975,-0.6707992391036567,-1.144334163931869,-1.3161326790975174,-1.6494568178148243,-1.8003568423238967,-2.1723050148669647,-3.04188234685826,-2.4506080384325752,-2.810067888843913,-2.174665944619554,-2.370024830461206,-2.0633320302278517,-2.106248966246145,-1.7714445742988076,-1.3519201477497427,-0.7901323596411189,-2.2065199726786013
6,-2.7538235859728184,-1.8318070717942583,-3.313513873621036,-1.4972043844495573,-3.3208727276439083,-1.6882265412146773,-3.207993908045885,-1.6342186820834093,-1.883512204460944,-1.7580348827585348,-1.0999911977719106,-2.0471427249256258,-2.420116213956431,-1.9560551304657186,-3.4222011171517046,-3.4837520081304456,-3.1175214651738195,-1.70337210783087,-1.9882302669904401,-1.7250596784642696,-1.1782396428375732,-2.0752270462976,-2.4901023950974355,-1.4255996170908851,-2.4681885908804104,-0.735558487697599,-1.8324361858759541,-1.1205468256216689,-2.3352142132335043,0.8660743046084523,-2.7815629504698443,-2.940124261790992,-3.7753288923905735,-3.0739761823431966,-2.015351518614993,-3.0750724816612824,-1.8082199534528842,-2.7765422158208035,-3.4642831172006896,-1.7649811308590242,-0.918747845668469,-1.506864441434928,-0.9775141625396097,-2.0834893397418055,-1.9493684850663042,-1.82552097138464,-0.8660355290755453,-2.909456250967128,-2.2569831327731196,-3.208669668965581,-2.44589305901612,-3.639099202505191,-2.171719927285625,-1.7090365223391533,-1.1253593801192145,-1.2058313260449525,-2.120832706726785,-1.5581558262924065,0.068617041403743,-2.4013239245663383,-3.0681252485550607,-2.466570451357285,-2.014925009624769,-2.7709194238274675,-1.763158889754079,-2.540838431903547,-2.2624756120241654,-1.7211796583773893,-2.0322079468017207,-2.2682488404142553,-2.4812878162918963,-2.7696511562807085,-2.123662961332265,-1.0615565417921404,-3.3691658311908923,-2.2430627320522545,-3.4822293409099037,-0.7861352293866348,-2.1584253810838487,-1.8600922115730274,-1.6723753255222102,-1.9596586731362888,-0.6007575853209421,-1.1049231896110963,-1.1385725433588312,-1.4651792095030596,-1.7774695389488964,-2.2343676148576943,-3.05648698240492,-2.523712254875202,-3.069300103636864,-2.1655403313416377,-2.192437128178732,-2.2919226497401586,-1.9949334891202823,-1.6557838568455099,-1.3154716445525239,-0.6908988082593842,-2.2707205352438455
7,-2.999976387987604,-1.968883209870531,-3.5020297928420265,-1.307915439149302,-3.683217283636086,-1.636801929807277,-3.386495804833311,-1.7857351517565052,-1.9524530832408096,-1.7416172268813919,-0.9363500895232568,-2.029644569918945,-2.3859452718954057,-2.0410746744352215,-3.4452862005471196,-3.6228105037384744,-3.177004235625513,-1.6908505394510749,-2.0249988525887774,-1.7715159319251306,-1.215467362547237,-2.105768936000652,-2.497288747596517,-1.3234775352101207,-2.751053525351195,-0.6075636350337602,-2.039961457615151,-1.0683098517353968,-2.2905845675336605,0.8118993525590843,-2.961845318459224,-3.1368985341397795,-3.830159099072023,-3.0348116592442227,-2.2768858895088515,-3.2843463398456225,-1.7368287445764967,-2.6080003948853294,-3.571614890358673,-1.7596164987132001,-0.824738540424082,-1.6405463040029094,-0.910074704392822,-2.135542082865333,-2.2516048269105005,-1.8712727018677966,-0.769651717419708,-3.046902112102791,-2.346137479193595,-3.099847607643627,-2.3907997385595894,-3.8850246937231523,-2.138480043787385,-1.603813680417418,-0.8675518362964342,-1.2299688251200003,-2.2118048570103146,-1.3583876800327357,0.24721546282740958,-2.515419567451173,-3.1694864836881926,-2.7029081848712226,-1.9133757405968397,-2.9322366577477066,-1.6635182569066023,-2.4487035246398507,-2.285556107312558,-2.035210801859402,-2.036017344952972,-2.564760970630693,-2.4360883723560254,-2.6391614291290444,-2.0723265625832665,-0.988372506163179,-3.723490773923078,-2.3649040533266312,-3.6484038115275945,-0.7349163243548922,-2.3259114854724525,-1.8700865171285073,-1.4896473392756415,-2.180793697275295,-0.4765242197606557,-0.9111083368663467,-1.2013904067209182,-1.348819063250972,-1.8253841594720628,-2.2465192558715223,-3.2829686670066645,-2.5225604226878007,-3.1718531420271523,-2.0320924933226485,-2.2265548563186552,-2.323370497536414,-1.878210304693838,-1.663411383450727,-1.4070320679817532,-0.5138694843748107,-2.0829482756116633
8,-3.2220576159069725,-2.1302644892466898,-3.7314565357371143,-1.326244332655638,-3.9319875606994104,-1.5655954031043904,-3.4560783463447224,-1.717831086740167,-1.9857471313686679,-1.7561156339356427,-0.7224822524483756,-2.059274461818038,-2.5389483834258955,-2.1176791889803113,-3.632726614187298,-3.813855456197336,-3.2422314840269286,-1.6985764634578446,-2.040302347212752,-1.753296080645241,-1.175579172556423,-2.138452969374555,-2.706432600644221,-1.2303739022972648,-2.9003131079851965,-0.5067814678851719,-2.304406504255858,-1.1583986007694762,-2.4147330041778052,0.77302826075137,-3.2319852514245175,-3.3272931279408073,-4.153303673529789,-3.1307906637227667,-2.4189810759308843,-3.553231202004494,-1.6812579701862078,-2.718298841502384,-3.8107763627673665,-1.7532631479650558,-0.7008292813742266,-1.6430310879602152,-0.8290240476067624,-2.205654810164188,-2.319676969967041,-1.8529246332488372,-0.684787082736726,-3.3187054471637425,-2.43194435092258,-3.255511761697608,-2.484763660296979,-4.062753778004398,-2.1284837831891146,-1.7593538865946976,-0.8160403820401947,-1.2269893584983396,-2.2609628514079727,-1.39283724262333,0.3319495318529713,-2.6185152622484287,-3.484609796218193,-2.9013315897229597,-1.8706795681519692,-3.1452983119270637,-1.7934979513036595,-2.5086255550916063,-2.493971831696474,-2.208577369881446,-2.0959894230562917,-2.590393205199495,-2.57136016484345,-2.6895529168621937,-2.111647571907792,-0.8957336332715328,-3.8064932334628363,-2.4193417048326475,-3.9174745529939448,-0.7922403636448727,-2.3903391850437585,-1.897300546899991,-1.5850346818883072,-2.219046167862341,-0.4072084724355199,-0.9500195370789959,-1.1954729477410038,-1.1700858940926233,-1.892251992067988,-2.3323864131303016,-3.503784222050686,-2.4831182444237077,-3.2932757702002395,-2.022946516079197,-2.4048146780892763,-2.492714561693783,-1.9136936941904295,-1.5033739455852613,-1.2452444224967263,-0.534116883159284,-2.112810151918539
9,-3.1675660611696035,-2.187959056207412,-3.6317235504241294,-1.2119874289562902,-3.8842383204553093,-1.6329545572304118,-3.468218303484378,-1.712875558803398,-2.020563210465195,-1.7529875145548268,-0.7904620158330499,-2.0957344219385527,-2.320440377295249,-2.175484935562598,-3.578476000306685,-3.819604742052603,-3.2874759301850243,-1.7585837928235901,-2.013821798487018,-1.834617078995398,-1.2400702037397189,-2.1459346065077236,-2.6704652790622068,-1.2936341462059346,-2.8754992153725376,-0.5564009646253582,-2.3685144630038426,-1.0897754091169525,-2.3413370355731145,0.6677986275251946,-3.198655604193918,-3.32178872594855,-3.926423709282139,-2.9803502805562756,-2.436527009372425,-3.44169766808196,-1.8236220004855832,-2.5412066170428496,-3.698603835611364,-1.7421559494504413,-0.8061736838333168,-1.705429303693721,-0.8992348956450991,-2.058325886134613,-2.312105337774133,-2.022199637270198,-0.7875648547586096,-3.251143057948649,-2.390403987861716,-3.0222794364137786,-2.3986472346072953,-4.057988567341225,-2.042021274615061,-1.7461195910359582,-0.845443664129521,-1.2561231981754832,-2.2807871385776,-1.3174968317533924,0.24682188600080618,-2.61595442840286,-3.407492856308879,-2.843173286272211,-1.7991823869519958,-3.1677866948090325,-1.6451722126537347,-2.373053464533983,-2.3423109696083038,-2.2036444879580808,-2.0173797943602194,-2.7579939367240267,-2.415278445073275,-2.630549416595107,-2.097243559405941,-0.9558049240129541,-3.812160522061574,-2.3157828891727275,-3.7481739349180074,-0.7038879560656938,-2.413394951913159,-1.793562559877626,-1.4487951177820524,-2.264182004283122,-0.46253804070367477,-0.8738529235518971,-1.2762166599083533,-1.1305726072338529,-1.9268034202020177,-2.2274508608640264,-3.4391783812487846,-2.5341905248092704,-3.1839646453430492,-1.9376944006003436,-2.332760851896021,-2.507956752446632,-1.739720294952408,-1.573661086035988,-1.2602957526400653,-0.6033935849976383,-1.9826250775973135
10,-2.9199427771774578,-2.2822215641683483,-3.2070320157437253,-1.0357225317805028,-3.770985564592557,-1.5329427465381504,-3.223331108150406,-1.6357164910864894,-1.613205376632358,-1.4808799474717136,-0.6687210151210217,-1.9589187223336488,-2.164430281218375,-2.0643969148346812,-3.2570298979692835,-3.4801058787311248,-2.889577534353988,-1.5935216998122421,-2.088899978881403,-1.6208606117379194,-1.25712865942133,-1.9981509451421726,-2.4525868027073,-1.1674625742265299,-2.8046802500880874,-0.3176662835220275,-2.6317025246933983,-1.0415888295018747,-2.109679981033353,0.5076341227793513,-3.039876692122633,-2.967062877893061,-3.5509152559959056,-2.5562628615067355,-2.298711816888393,-3.197948655254211,-1.5865289371595115,-2.2135120933705394,-3.372347711921158,-1.659813695758814,-0.6144742860068984,-1.7594288912671006,-0.7205810656274569,-2.1488571541755097,-2.1335759967369703,-2.1277860537712554,-0.7634265936928882,-3.1113501200998552,-2.122449950945618,-2.576007511473146,-2.241029207095976,-3.7667966611122985,-1.858908306719826,-1.58145700615926,-0.4806123559763456,-1.0805301046860156,-2.0653744512201597,-1.1375350252215604,0.08404657740966488,-2.565288926036386,-3.2628900204513873,-2.6516433457340964,-1.53456302087599,-2.861623352528808,-1.374155631004342,-2.025088140169589,-2.0920827102010127,-2.1681748886363184,-1.9374439668296144,-2.6976880161146206,-2.2242658590537,-2.0993294903630098,-1.8716279279017607,-0.754814329408179,-3.4982875402797946,-2.266209515339528,-3.352075566030297,-0.8635673173174353,-2.2839299813371348,-1.365790185997797,-1.3023412259594678,-2.044467055016977,-0.5309779002775158,-0.7336811447225509,-1.2859458521519467,-0.8173765327199355,-1.6661545299515153,-2.0091930304786434,-3.023085071019044,-2.329256175314037,-2.9088663217358763,-1.6312215207553906,-2.1423540059688904,-2.4204395212606693,-1.635057368372638,-1.2429369291288868,-1.1227836170696155,-0.37916002513563435,-1.766998317539755
