index,age_isomap_x,age_isomap_y,age_tsne_x,age_tsne_y,age_umap_x,age_umap_y
accountant,-0.5461632983261673,-0.4203473207699365,-16.568714,-26.649355,10.56847,7.750367599999999
air traffic controller,-0.1794217129235246,-0.16181403751178086,57.705245999999995,-41.017241999999996,7.8990064,7.4792065999999995
architect,-0.7093702862712741,-0.09813462029948856,-31.921637,-95.8875,11.627211,8.187348
artist,0.3034583370554632,-0.652747961457624,1570.7041,-125.15558,6.95578,10.18308
attorney,-1.277927576443582,0.01627221078395329,-143.47377,-176.0431,12.844126,3.5370717000000003
baker,0.6539000688641807,0.12133326212032655,29.097324,114.07033999999999,3.5903932999999997,9.297549
banker,-0.3019239810153842,0.8292944149442467,-84.787384,-156.00006000000002,13.314318,6.2012196
bartender,-0.13712680788685716,-0.5239890135957362,107.52003500000001,25.62816,7.490534299999999,9.55958
barber,-0.33616475097994913,0.0645126944256284,27.41909,-40.56517,8.808337,7.342153999999999
barman,-1.4152858065084328,0.08655079004777527,-143.57425,-186.92532,12.832783000000001,3.8537120000000002
barmaid,2.9446127120916317,-0.33825077787675434,19.536066,229.69426,0.73603004,4.9577922999999995
bookkeeper,-0.5292736725858364,0.0934192494197684,-55.835438,-11.981904,9.506330499999999,7.416491499999999
broadcaster,-0.5163058813328771,0.004940656717846209,-7.9316735000000005,-95.072556,10.931917,8.633085000000001
builder,-1.1677406112451292,0.8136843138217092,-97.66974,-185.83585,13.294756,5.2978044
businessperson,-1.2748439742175184,0.2523986394520807,-129.29128,-179.5,12.792953500000001,3.9401736000000005
businessman,-0.8846574599181525,0.0776979136523826,-89.187416,-94.8729,12.030930499999998,6.473001999999999
businesswoman,2.9605181696718224,0.10048748702983636,28.813323999999998,231.95768999999999,0.85893,5.0872416
butcher,0.5023157493039713,0.22009913329966085,26.657090999999998,124.79995,3.4049907,9.329581
captain,0.062083345625565424,0.15627730355201716,65.266716,89.01173,4.140934,10.174469
carpenter,-0.14493954092625144,0.12210458265161266,29.292229,-55.61083000000001,8.584017,7.4028410000000004
cashier,-0.3455914398947295,-0.4791479901320078,-8.167693,-18.970772,7.860340600000001,9.599745
chef,0.1652371534432133,-0.4792210192900499,100.51893000000001,47.591183,7.0517344,9.900544
coach,-1.8126101377073005,0.04739280212415007,-139.63724,-209.20363,13.253722,3.6541455000000003
cook,0.4096740756021864,0.034998414973769335,77.5159,106.11192,4.012487999999999,9.778352
computer programmer,-0.18859715490582327,-0.257511167642524,69.46583000000001,-26.08175,7.8989425,8.036746
dancer,2.5613684611576955,-0.37589428783296003,13.919018,220.95152000000002,0.6617456,4.901697
dental hygienist,-0.2652773961647099,-0.2931407938937593,75.052376,-3.8596187000000004,7.9023056,8.689061
denstist,0.0237172132965982,-0.15368098563261484,76.81338000000001,-73.42605999999999,7.101279300000001,7.5038146999999995
designer,-0.28545357764394,-0.2823016435285303,65.4555,-6.673937,8.116119,8.616568
developper,-0.8970924026632676,0.2732111468339761,-57.787464,-154.5041,13.057907,6.7107444
dietician,-0.16540687413878932,-0.2052223537209075,81.35754,-23.870473999999998,7.862661,8.08615
doctor,-0.8089346449256143,0.09398203476712523,-90.63093,-78.20955,11.527794,6.4274783
economist,-1.1910617065178897,-0.043347779518061055,-146.95703,-162.29654,12.641886,3.3574247
editor,-0.6242796929850803,-0.03031952631493136,-23.871204000000002,-84.68207,11.503314999999999,8.173482
electrician,-0.573607528535695,-0.04320273781092596,-14.6464,-86.89195,11.092653,8.5837965
engineer,-0.2790014133907597,-0.37449818863385387,90.321754,-0.5263599,7.8172493,9.006589
farmer,0.7060107715974027,-0.12630349866654325,43.655865000000006,141.4547,3.1977333999999997,9.593309
filmmaker,0.498030680510144,-0.6511233611027339,-1069.9279,328.72147,6.721203,10.199355
financier,-1.1327367188930395,0.6233540242282898,-110.57328999999999,-177.91468999999998,13.081264,5.378524
fireman,-1.7059987372995082,0.6170689489398571,-131.65378,-211.54452999999998,13.21321,3.8547466
fisherman,1.01041010889755,-0.3267754694795608,43.00139,159.36623,-0.79428434,4.7769
flight attendant,1.0570251018230206,-0.3928441298205968,33.359703,168.80077,-0.7112897,4.523946
gardener,0.5819571999893415,0.06334611995263212,36.20635,122.54637,3.3798199999999996,9.502786
guidance counselor,-1.2342142615615188,0.005869757899506385,-153.99702,-174.92223,12.743346,3.5282912000000004
hairdresser,-0.2300700622414389,-0.06247626054776185,39.17958,-43.739082,8.384297,7.299063
homemaker,2.341316775053886,-0.22375414596548485,29.413994,217.52711000000002,0.62304425,4.894755
housekeeper,1.7730282243748885,-0.21192388441763824,32.317852,201.70045,-0.013815208,4.614121
interior designer,-0.42106944734834056,-0.2811543530299017,55.768963,-1.2512676,8.296234,8.6862545
jeweler,0.2149753449780358,0.1887902585942479,67.91856999999999,100.84832,3.9934483,10.013914999999999
journalist,0.15091611275142192,-0.21006288418957228,86.48433,-63.64682,7.129124000000001,7.635572
judge,1.6701009750425746,1.0768276428376995,42.86869,256.9363,1.6396397,5.2961730000000005
lawyer,-0.6648121276110298,-0.11378808713553855,-26.88273,-69.43268,11.159676,8.064575
librarian,-0.7004203328460233,0.11400215735023225,-47.279816,-123.27318000000001,12.350237,7.092887400000001
maestro,-1.0693450394596038,0.2410030544607248,-89.25057,-122.83916,12.544798,6.3571897
magician,1.5222671716589584,0.8339187935557264,70.68431,225.68292000000002,1.6989443,5.2607503
mason,-0.7451292439122573,1.0594169528706028,-89.09675,-170.1327,13.336107,5.563808
mechanic,-0.5979683962840628,-0.10523304067434233,-24.252462,-36.550358,10.666358,7.901235000000001
musician,0.3582630730281389,-0.9366916968069712,73.66308000000001,50.479538,6.882500599999999,10.211722
nanny,0.3204087019622666,-0.1980180867716124,92.21125,99.99901,4.6671705,10.00742
nurse,1.4449858826098891,-0.2880184506993512,34.11501,191.16400000000002,-0.33618024,4.545527
nutritionist,-0.1488975706028853,-0.25852940575821576,72.324455,-35.25497,7.696441,7.8630614
optician,-0.20754620145780825,-0.17801277501028412,49.399345000000004,-45.38285,7.9365562999999995,7.3748565
painter,0.8015961708020705,-0.05074449614442096,22.701609,104.60765,3.6449344,9.1404915
pharmacist,-0.5417154928437719,0.09368485602873974,-9.182367,-106.84311000000001,11.180594000000001,8.512678
philosopher,1.6061663841416485,1.0721411318201821,651.3819599999999,465.21587999999997,1.8031352999999999,5.414937
photographer,0.6536698860463236,-0.4061977274777861,15.264738000000001,74.94463,6.1774364,9.872005
physiscian,-0.5920231092761177,0.3604790567090445,-74.65978,-143.28694,13.173865,6.6339025
physician's assistant,-1.0824561376835509,-0.024626771257651642,-155.62313999999998,-162.03011999999998,12.572121000000001,3.2874737
pilot,-0.12309183362131065,-0.5024990816313267,101.36802,31.704132,7.467295,9.535459
plumber,-0.6501343380606271,-0.059492204021701564,-34.090903999999995,-82.09132,11.397784,8.42794
police officer,0.17748062289487632,-0.09216760732378317,89.71858,91.24286,4.511916,10.036283500000001
policeman,0.21956575301166698,0.030479601455439508,77.12286,90.21395,4.301659,10.066157
politician,0.921977738329745,0.6270486209918,-11.189956,115.54361000000002,3.2816455,8.810297
postman,-0.8853937526964917,0.1911454712062472,-55.89720500000001,-144.20983999999999,12.843186,6.753141
professor,-0.9051947739400008,-0.2092856711287049,-82.79779,-55.479682999999994,11.16354,6.682282400000001
programmer,0.3488571326591849,-0.3675528210971401,31.934997999999997,52.24419,6.384440000000001,9.606278
psychologist,-0.6997599494574042,0.0009828508948633184,-41.633095000000004,-90.886314,11.74271,8.150989
receiptionist,-0.09056495737404886,-0.1903206390114076,71.119545,-48.225708000000004,7.511665299999999,7.5547830000000005
salesperson,-1.2989454192504784,-0.04801081393551596,-165.82402,-177.70042,12.797205,3.3810885
scientist,-0.8364264426709682,-0.15979077180268247,-73.65312,-58.00029,11.118345,6.761639999999999
scholar,0.8942067178674035,0.6627355208925818,-13.639685,122.91158,3.3032044999999997,8.835434
secretary,-0.4104521326334433,0.11988436897232625,-47.642056,-13.102978,9.451088,7.461299
server,-0.7681106920216387,-0.00013053317138237298,-56.018818,-106.678665,12.04159,7.938453699999999
singer,0.955920568197442,-0.9143552715443678,61.018584999999995,172.1139,-0.71133524,4.5073047
skipper,-0.7781768346535388,0.06111196931783154,-55.08152,-120.076904,12.542661,7.434092
soldier,1.9997884504990573,0.9326210621255312,16.309647000000002,259.92206,1.6315514,5.2919126
socialite,0.3242068884311028,0.9384813584473524,-25.992365,118.03796399999999,3.2094123,8.707828
stylist,-0.3243714167515649,-0.4898729584860079,84.89398,7.937112,7.8303375,8.995853
surgeon,-0.9860636766878876,-0.12517235539832589,-84.99194,-65.54599,11.404525,6.419301
teacher,0.17265288150178335,-0.3469783555975225,110.96056999999999,53.4926,7.173789500000001,9.801835
therapist,-0.7238700433890403,0.15425640132890778,-61.368877000000005,-134.98764,12.843469,7.057309599999999
translator,0.4940341239316286,-0.21742071331659985,17.444670000000002,64.73585,6.029995400000001,9.593882
undertaker,-0.8800568459336391,0.8720376259201991,-98.76025,-172.24626,13.253757,5.502421
veterinarian,-0.7397662352539344,-0.2896710306616317,-65.246574,-50.37494,11.017614,6.97268
videographer,0.3897802428325541,-0.2535324646120051,24.273733,58.164005,6.172372,9.471024
waiter,1.170909738034556,-0.4686018286501455,49.75929,167.96074,-0.7940816999999999,4.6294827000000005
waitress,1.1828854732953142,-0.4296767054196317,41.669518,173.84248,-0.6369224,4.56018
warrior,2.5128742480984343,1.2803279107805146,27.405822999999998,251.45161000000002,1.3915657,5.1622324
writer,-0.0303128771931355,-0.20609001097065469,75.8709,-60.347816,7.333665400000001,7.470967
