index,beverage_isomap_x,beverage_isomap_y,beverage_tsne_x,beverage_tsne_y,beverage_umap_x,beverage_umap_y
accountant,-0.008568503978702256,-0.10040767121184602,25.026157,-97.28366,-2.005185,6.6564846
air traffic controller,-0.026730443464229366,0.023102008002631264,-13.783813,-135.42612,-1.1560614,5.915977
architect,-0.31617188384892325,-0.22745997996933476,23.123032,81.20623,-4.9427857,4.165076
artist,-0.22035796097781812,0.11028626113537136,-118.33723,-84.943,0.8532367,7.2591343
attorney,-0.4404114152867397,-0.13959666009413343,-8.629422,199.33972,-1.0114843,9.397101
baker,0.44769025182208644,-0.10518988604606712,225.83107,0.46077743,-6.7682185,9.362138
banker,-0.047614794321804106,0.11949876142644326,34.234623,-7.4163623,-1.3380084,6.9498706
bartender,-0.10990083153235769,-0.24305923189910458,-206.19821,73.4336,-2.5498598,6.3499985
barber,-0.04738274516789094,-0.029658433058250045,-12.421113,-72.916214,-0.7824239,6.8506227
barman,-0.7986023958520866,-0.15600591848001963,310.74356,355.87622,-0.99435776,11.614446
barmaid,1.5457667873835088,-0.09647613459346734,215.43951,-155.3207,-6.5120187,11.768521
bookkeeper,0.023721747336937393,-0.09421430615609595,36.193268,-87.03699,-2.0058417,6.840952
broadcaster,-0.2221133661163591,-0.04584332179487588,-73.1599,119.29406,-0.18133877,8.743103
builder,-0.7231127232865483,-0.12895096271139955,-113.84532,78.99185,-1.2516897,11.388177
businessperson,-0.4439565465721501,-0.1811364201867379,6.4299,203.1738,-1.0863402,9.446208
businessman,-0.08787939245076656,-0.17791632050101788,71.62965,39.837425,-4.214854,4.877542
businesswoman,1.6410660992427262,-0.12736016485145013,215.29224,-170.90546,-6.5334945,11.778253
butcher,0.21766696961466225,-0.15315439905457817,149.81743,-19.231953,-5.993109,8.840548
captain,-0.09092650645964333,-0.04050386249296303,8.635756,-49.974277,-0.8633666,7.1299186
carpenter,-0.04131912867203345,0.014655539024983639,20.757685,-33.642323,-1.0654875,7.007085
cashier,-0.03027710543200536,-0.16769055440450384,-191.38663,42.95701,-2.5283203,6.3036046
chef,-0.1056171819912501,0.13392326545394106,-132.78244,-109.57522,1.2265316,6.9450846
coach,-0.8825299859092792,-0.18712063075002194,-1039.1483,-651.97864,-0.90865546,11.600957
cook,0.3447241010649899,-0.13554373206828368,188.35898,-31.557432,-6.1293373,9.366481
computer programmer,-0.16199565413582478,0.08423867207053246,-74.81503,-45.848167,0.3427046,7.5416923
dancer,1.1274161483205867,0.17893434460367902,280.05743,-73.94559,-6.7192354,10.8190975
dental hygienist,-0.18756602549333404,0.03547296352116215,-74.42098,-63.636986,0.20177309,7.8647385
denstist,-0.1312995320413549,0.16441269686068,-35.30066,-205.19374,-0.7209347,4.968393
designer,-0.3804250258159233,0.0419408997834629,-74.24556,201.63171,-1.103816,10.453785
dietician,-0.009320455269151819,0.03187183508010119,-15.72605,-151.20195,-1.211574,5.6354914
doctor,-0.22779278871471423,-0.008196560081615638,74.87163,90.48002,-4.652872,4.4309034
economist,-0.20626888419490688,-0.14493073450932245,46.270374,52.159954,-4.3842196,4.7050867
