index,sexual_orientation_isomap_x,sexual_orientation_isomap_y,sexual_orientation_tsne_x,sexual_orientation_tsne_y,sexual_orientation_umap_x,sexual_orientation_umap_y
accountant,-0.10944344744616792,0.08182847889061944,-711.97656,-1184.1444,11.317944,12.335071000000001
air traffic controller,-0.020617535078725758,-0.18730389632275987,-13.415501,31.595993,10.523544000000001,10.817392
architect,-0.2358389310213774,0.08389633559196102,51.25697,-338.32956,13.904020999999998,11.794683000000001
artist,-0.1938683617166118,-0.021374034142414386,-107.46500400000001,-113.17078000000001,13.249557000000001,11.301833
attorney,-0.3079304378544888,0.06391987350905251,36.36768,-322.89162999999996,14.219120000000002,11.542027000000001
baker,0.3355515145122892,0.26229072442342155,112.769196,126.42388999999999,3.6289703999999996,5.2495565000000015
banker,0.00028881780574647,0.3004202841361605,96.93222,-85.95430999999998,11.544279,13.836045
bartender,0.03430616983157924,-0.07490925645334795,73.450455,-44.311115,10.544824,12.463119500000001
barber,-0.0973785929344365,-0.0349066864225368,1751.3098,1081.5103,11.412375,11.723838
barman,-0.6419851016339202,-0.06476813756107085,338.01932,32.211796,-18.762003,10.953031
barmaid,1.2338735593435388,-0.1844694663745768,0.18848245,312.58768,5.9015837,3.597411
bookkeeper,-0.047357797119120124,0.023402383582203853,84.88775,-13.532809,10.415561,12.623569
broadcaster,-0.20375453242009733,-0.08216379325145126,-153.83713999999995,-138.9357,13.250932999999998,10.591068
builder,-0.6097449584267871,0.004352886326743449,328.85974,18.915812,-18.785988,10.929039
businessperson,-0.29485911804240256,0.15241568066724956,312.51862,-320.22482,13.474872,13.392904999999999
businessman,-0.0904142566251956,0.14554517828976524,65.126335,-163.73698000000005,12.356841000000001,15.026666
businesswoman,1.2826605471365826,-0.1791262889770277,17.014526,312.1520700000001,6.037253400000001,3.4854547999999994
butcher,0.11921822130933475,0.31912109782574377,170.0796,62.386990000000004,3.7656157,6.1296415
captain,-0.017410534589712867,0.0925200124426449,87.34919000000002,-64.61614,11.224333999999999,13.492595999999999
carpenter,-0.09747776005502844,0.16098805005189215,64.2796,-202.17719,12.852672,14.897429999999998
cashier,-0.040921276942402864,0.032290079847734014,84.34408,1.2313265,10.312997,12.743588
chef,-0.1546571447995335,0.026326287321116127,-99.17541,124.94335,12.479764,11.514989
coach,-0.6307913655773547,0.2865802512599029,314.92142,41.602497,-18.901516,10.81351
cook,0.30209899698407466,0.26548199380870696,115.47547,109.72336000000001,3.6972623,5.428368
computer programmer,-0.07047047108899261,-0.17316479702821758,-82.943665,-15.255923999999998,11.231277,10.273486
dancer,0.7847045131029515,-0.0911427764130891,4.2404804,249.26906,5.669409,4.1147922999999995
dental hygienist,-0.1394921723898383,-0.0990343561660782,-84.93182,-68.27538,12.502586,10.9001875
denstist,-0.07992757688179603,-0.2844919632654445,-96.13391,52.793,10.520522999999999,9.361647
designer,-0.3018414505511103,-0.1097164996591922,-237.26076,1.6612619999999998,14.971604999999998,10.385683
dietician,-0.009729134937329374,-0.1842882882988239,-22.454845000000002,19.001545,10.575608,10.866729
doctor,-0.1323951086560107,0.2894256393461154,-16.882089999999998,-996.66425,12.393844999999999,14.209176999999999
economist,-0.13379648789782592,0.1480480882756358,47.559364,-195.96982,12.649397,14.591728
editor,-0.3157118923826941,-0.06766471424766636,-258.73,-1.2473094,14.830956,10.373263
electrician,-0.17522347065110289,-0.09984591929535744,-141.8904,-120.66165,13.312282999999999,10.886784
engineer,-0.0554174123859197,-0.10084422453108276,19.702187,5.7055407,11.082341,11.441059
farmer,0.27103868450372065,0.2636606438815219,147.89928,123.03903000000001,3.4059224,5.4784346
filmmaker,-0.149159735433991,-0.04093863252578128,-110.87494,-82.36288499999998,12.564748,11.288695
financier,-0.10031266845826756,0.2241769444717576,73.61925500000002,-142.65865,12.154100999999999,14.46173
fireman,-0.688849620700016,-0.06838915284976624,335.1839,49.54643,-18.875689,10.839338
fisherman,0.3755084043001948,0.2852806472138704,134.76195,154.20323,3.607644,4.977201
flight attendant,0.6006964632433096,-0.08869091957996772,21.549997,217.48955,5.1846385,4.3426184999999995
gardener,0.3392943249979634,0.29753247179291364,146.85016000000005,142.03882,3.4856743999999997,5.019538400000001
guidance counselor,-0.3647286179186845,-0.0801921889488692,-279.03485,-1.8285441000000002,14.691243,10.153489
