index,sport_isomap_x,sport_isomap_y,sport_tsne_x,sport_tsne_y,sport_umap_x,sport_umap_y
accountant,-0.09239209634572615,0.03482028414981639,18.769989,25.5735,9.514063,7.947815
air traffic controller,0.09207794592065308,-0.1907059364366257,-131.39789,-41.32121,6.7261767,11.756005
architect,-0.3181299069252584,0.006936789154228719,64.73884,-141.12901,9.741129,5.1356587
artist,-0.2879888526728668,0.054891387514656546,89.01193,-209.93169,5.9448643,4.491705
attorney,-0.46502165717399585,-0.113315504150239,-10.071025,-215.94731,10.496056,3.2838404
baker,0.31701023204978146,0.17524181398357078,-4.967323,240.28287,3.8015559,8.372869
banker,-0.11177296940178127,0.4524189880877418,139.89958,-53.805454,8.461147,6.2550206
bartender,-0.20103253748494532,-0.10315246799916529,13.848352,-98.151024,8.878935,5.0588617
barber,-0.1526750929751222,0.0625961106795321,-137.08167,164.3407,5.5458655,4.5166497
barman,-0.8143513765583402,-0.2816219416119413,-112.28558,-265.08176,11.392462,2.04053
barmaid,1.512292660692955,-0.4443362167954244,198.93939,101.60511,0.79651725,8.389858
bookkeeper,-0.061616822207778726,0.08733795905649387,-4.067733,41.635086,9.396765,8.287085
broadcaster,-0.21803678850380923,0.009999362426120772,90.99551,-68.55489,8.69682,5.651025
builder,-0.6935249953103235,-0.2862844954857813,-93.08379,-267.03598,11.296548,2.1941643
businessperson,-0.5391795319619598,-0.1564915813635478,-27.546085,-248.27155,10.765142,2.947987
businessman,-0.2651634946094847,0.20318997787446752,77.81072,-17.45762,9.361466,6.5198345
businesswoman,1.6051156060469363,-0.4836001691463343,205.93846,114.889565,0.9026575,8.455942
butcher,0.11634530040938909,0.2576952905104373,-54.90914,251.03403,4.036074,7.6278753
captain,-0.28093573200376376,0.20188232669563697,109.164345,-79.9047,9.116867,5.9961534
carpenter,-0.23412451390638758,0.08925392920033723,415.3325,-2569.7278,5.6830254,4.249486
cashier,-0.19245520932593876,0.08622580202521812,34.188156,16.381588,9.592652,7.277759
chef,-0.15522833512583714,0.10761474680326433,-135.57294,181.89374,5.5365973,4.401936
coach,-0.8852779540787675,-0.3047662792412986,-118.01456,-286.7734,11.539113,1.8724471
cook,0.18296118512372095,0.18502690638599076,-22.877377,253.98422,3.9687667,8.017625
computer programmer,-0.011182530517374214,-0.14490907293238992,-107.42178,8.493403,8.6055975,10.098834
dancer,1.047968437657819,0.07608113308692778,183.55864,158.96558,1.4451015,8.180724
dental hygienist,-0.08818298988187323,-0.12813243867935412,-90.57197,29.911833,8.823717,9.782335
denstist,0.14192577401607967,-0.2055247894924525,-170.25002,-18.433674,6.7635636,10.908451
designer,-0.31081175681041634,-0.13204539023451087,29.183722,-194.75102,10.252503,4.2656975
dietician,0.04559958459531839,-0.1734098896147483,-110.0616,-40.765297,7.016077,11.797162
doctor,-0.35093559721105,0.3971680302332662,123.17472,-28.161095,8.798451,6.3158207
economist,-0.2702887809142999,0.10735233086557382,85.19506,-56.06768,8.879176,5.8086877
editor,-0.3879366498361886,-0.07305417335998367,0.76565623,-196.81212,10.250747,3.774021
electrician,-0.1868176716844825,-0.11457294508463663,-5.2209263,-96.19942,8.832478,5.042652
engineer,-0.019373819624551463,-0.10454756479228468,-92.686935,-24.434801,7.165539,11.704609
farmer,0.3022506231768159,0.16987907366660537,-12.254284,226.2608,3.8386078,8.462029
filmmaker,-0.2220547032695998,0.07652741128036965,-120.4103,176.27376,5.7621894,4.372448
financier,-0.26304181331743526,0.2548936665934102,120.405945,-49.322456,8.621781,6.004436
fireman,-0.8198692070837709,-0.37135301517034675,-125.79008,-270.62335,11.504806,1.9105736
fisherman,0.4364415053691853,0.1768074372673426,16.797894,198.38078,3.2653298,8.7055025
flight attendant,0.6453089931989722,-0.2287822016726328,-35.634464,743.12775,1.9025632,8.479975
gardener,0.4155701856958997,0.2939960622197431,917.3046,646.6761,3.35947,8.479634
guidance counselor,-0.44709820838471487,-0.11738815257798974,-25.073204,-179.65141,10.073509,3.5348058
hairdresser,-0.10247701941467102,-0.06001392118197562,-72.90992,59.663593,9.170775,9.432225
homemaker,1.390327718374411,-0.4125211045325097,189.18279,116.1003,0.87020886,8.376749
housekeeper,0.9292575610263982,-0.21633989942499807,168.45377,154.01265,1.4563241,8.324526
interior designer,-0.32366400832362974,-0.1285049415443319,42.42759,-193.78178,10.21066,4.08823
jeweler,0.28705597795241405,0.22244731124424286,-1.6088855,255.68144,3.5102165,8.115982
journalist,0.03505481252127706,-0.14315819876643676,-188.5547,4.0083723,7.217454,10.635013
judge,0.08070772393219285,0.542918948448347,186.15854,242.3862,2.53775,6.722617
lawyer,-0.3534149124896406,0.12275116241645488,72.957275,-131.28326,9.689303,5.7022133
librarian,-0.2436469848083313,-0.0910999638206216,-11.183586,-109.208694,8.804312,5.0833235
maestro,-0.3944241634232354,0.5398451148826133,140.02042,-18.385208,8.915597,6.3091063
magician,0.907693365914332,0.06343555897432004,166.79567,176.89282,1.6204576,8.067304
mason,-0.7260732745240339,-0.30036967889982774,-80.58971,-264.41382,11.324309,2.1866305
mechanic,-0.0881720369545916,-0.09649916760271827,-39.82616,43.198982,9.2883,8.933334
musician,-0.1312948914088546,0.09756545217617844,-307.9414,-57.76011,5.494424,4.4009542
nanny,-0.08316239616143012,-0.08107962155865946,-85.963715,71.65779,9.1300535,9.474877
nurse,1.0015150122638623,-0.33575510178000745,166.68822,139.23737,1.3678906,8.329965
nutritionist,-0.05714721136971501,-0.12299521558811698,-105.84578,23.114666,8.466078,10.015925
optician,0.04946126524403034,-0.1478509621429283,-122.53905,-53.929523,6.818835,11.89248
painter,0.5200172018184682,0.11514723580371476,43.600697,204.1011,2.854726,8.748448
pharmacist,-0.03958119546340873,-0.07536164673979291,-61.226517,47.486,9.213424,9.149694
philosopher,0.7582964563375978,0.561404189762244,164.26547,194.71822,2.3128567,7.403556
photographer,0.11925449653126603,-0.1734314470791584,-155.70767,-31.998209,6.619279,11.393604
physiscian,0.015801190719791764,-0.13711551582254078,-197.75876,18.136177,7.3232365,10.548243
physician's assistant,-0.3410055598459318,-0.06981483262587658,0.7117792,-180.5736,9.912439,3.9324198
pilot,-0.06460329956813264,-0.003613616997140761,-24.361982,42.844364,9.373132,8.6159525
plumber,-0.257520605089262,-0.07377480324100216,5.464749,-114.23307,8.976778,4.9367537
police officer,0.32178453845048816,-0.18432753941695534,85.42661,206.06606,2.3514583,8.653553
policeman,0.41548062336936287,-0.033429772694354994,78.89712,217.85811,2.6110644,8.456689
politician,0.27090006814575707,0.5164872184343913,109.95163,254.01218,2.8422124,7.2077823
postman,-0.4310716654048352,-0.17142697829947778,-49.400517,-202.18422,10.41043,3.53808
professor,-0.3738346426540507,0.14235038336843167,78.290985,14.854538,9.645282,6.4099574
programmer,0.031238951741796164,-0.17642648784784107,-116.34514,-25.271484,6.953776,11.9074
psychologist,-0.07721678433212056,-0.09021640018278738,-69.95277,32.18721,8.9978,9.545527
receiptionist,-0.0823786104898816,-0.16119120138293475,-224.36722,1.3799672,7.890236,10.130162
salesperson,-0.5267628115435294,-0.16196782232377682,-17.121159,-240.46901,10.66948,3.0575218
scientist,-0.27041612667736464,0.14422306362727805,65.712875,1.9778116,9.5501795,6.7620068
scholar,-0.0657818706900168,-0.08826565510264635,-205.1396,37.022472,7.3092227,10.540088
secretary,0.050381712148066124,0.18192066487572042,-56.462383,271.38174,4.2650466,7.683973
server,-0.4735690011416275,-0.20407864754913613,-47.17347,-188.64075,10.417117,3.3950558
singer,0.3275772974414567,0.15139780947484063,13.459608,226.33075,3.7463825,8.548295
skipper,-0.3363049963649832,-0.08748363855965663,1.2261459,-158.2786,9.783105,4.0682154
soldier,0.05226360814043773,0.4997051013003875,197.17944,236.10051,2.6435664,6.6211123
socialite,0.43236221578021955,0.3854102268681289,94.6118,249.20544,2.8950808,7.642926
stylist,-0.3409441892990583,-0.04127631371274446,32.537743,-177.85965,10.089229,4.350843
surgeon,-0.3601440947543368,0.21572444103053037,95.36595,-8.26495,9.3811865,6.3438363
teacher,0.0344493185736209,0.18485089622987633,-39.619244,268.25,4.255833,7.6631994
therapist,-0.08104710744203429,-0.1267821352305423,-240.93054,0.53005207,8.023356,9.98899
translator,0.16479766620761913,-0.1374757095781078,-176.97017,-42.219418,6.650553,11.120658
undertaker,-0.13721124666479836,-0.14160194722987107,-249.47728,-23.822332,7.8908873,9.777675
veterinarian,-0.30633375719301414,0.13703032382759092,63.89348,-18.777584,9.411954,6.7067246
videographer,0.011671823078258616,-0.17361500685557077,-180.50354,15.342432,7.2721853,10.590262
waiter,0.4446476886486125,0.14266425932257962,23.05705,211.1272,3.4126709,8.686528
