index,accountant,air traffic controller,architect,artist,attorney,baker,banker,bartender,barber,barman,barmaid,bookkeeper,broadcaster,builder,businessperson,businessman,businesswoman,butcher,captain,carpenter,cashier,chef,coach,cook,computer programmer,dancer,dental hygienist,denstist,designer,developper,dietician,doctor,economist,editor,electrician,engineer,farmer,filmmaker,financier,fireman,fisherman,flight attendant,gardener,guidance counselor,hairdresser,homemaker,housekeeper,interior designer,jeweler,journalist,judge,lawyer,librarian,maestro,magician,mason,mechanic,musician,nanny,nurse,nutritionist,optician,painter,pharmacist,philosopher,photographer,physiscian,physician's assistant,pilot,plumber,police officer,policeman,politician,postman,professor,programmer,psychologist,receiptionist,salesperson,scientist,scholar,secretary,server,singer,skipper,soldier,socialite,stylist,surgeon,teacher,therapist,translator,undertaker,veterinarian,videographer,waiter,waitress,warrior,writer
witty,-1.7665996502544452,-1.678849949554765,-1.5632670229536958,-0.45212564856032944,-1.8516907907605666,-1.2253983766357666,-1.825594396851015,-1.2785917573392107,-1.8153590649406781,-0.9785120862935524,-1.3986289501870015,-1.7431376882829552,-1.1408371521282152,-1.7643845599053618,-1.5340631718714453,-1.4463807229570327,-1.0449264208961386,-2.1375034241745574,-0.8474141081176663,-1.8943688467312125,-2.0806639381263143,-0.6503027979878373,-1.958088160535832,-0.6733881983564217,-1.4793989934401213,-0.7185050037692311,-2.6044738610543865,-1.249992098692234,-0.619729652810693,-2.3231458581846582,-2.320937786227479,-2.0291708411485994,-1.8096284077362128,-0.5676795455305685,-2.032190181090074,-1.547140440351182,-2.7399799916907064,-1.2294820133689883,-1.7128579331298965,-2.1948400931176013,-2.1123253006311,-1.4587495650396396,-1.5134830452768346,-2.459672050098683,-1.5102826558994775,-1.6484955813006912,-2.1490338572840098,-1.5899941210735764,-1.2205677514976108,-1.0183899110994654,-1.6424572177681176,-1.506929707214361,-1.3943388324805204,-1.6146104489864355,-1.1481349211172978,-1.8826230118922749,-1.5016499700688801,-0.6617424330927089,-2.029598597028867,-2.0675632256746317,-2.317609380099047,-2.3660658612146053,-0.7734075567613792,-2.4705074327927914,-0.33100112327790787,-0.7407441926811104,-1.7325348226665815,-2.7929777927919495,-1.3386551967859477,-1.928332254142943,-2.5105219205071894,-2.1214099101806627,-1.6395189269119377,-1.0198741745728757,-1.2894923769849622,-1.1311011873585932,-2.0731233912321843,-1.0364615233443184,-1.6662321250182737,-1.399437911019937,0.020080277602929002,-1.3262421871286132,-1.0016027056024848,-1.127030466226801,-1.736967689236257,-1.59914707745972,-0.3748607032986379,-0.4691875590987204,-1.8949572878762815,-1.6654737014906884,-2.1304149387313487,-0.8736609209611017,-2.072358550511909,-2.434016167327714,-1.2768622138164634,-1.1075873549154551,-1.5920784001235346,-0.9879122916066382,-0.03922324340240557
compassionate,-0.9310112344080551,-1.088966779521592,-1.4296588726223394,0.5676253460167335,-0.3000863173768417,-1.2349144332224058,-1.268960632353946,-1.7764092564986524,-1.239486552999345,-1.7495375049508959,-1.8779342060083475,-0.8945301845703838,-0.8905187964239041,-0.4760060709253905,-0.012211155576520496,-0.40885367191677063,0.11121323235167511,-0.8923999909908932,-0.7722904249470521,-0.9830111688280271,-1.6019630612530442,-0.7843343765684413,0.10222693208104539,-0.3888155828076375,-1.3493762845920616,-1.2493948501360694,0.19918062847396195,-0.021463181104890188,-1.245267398904203,-1.0092859345956076,-0.17488938122604863,0.6616382592952886,-0.6370839979076856,-0.9610964255975869,-1.6380368857609295,-0.7919505353479298,-0.538899036697024,-0.9607290913082978,-1.2203125321020372,-0.4338799062808529,-0.6570211711455323,-0.8637390795294079,0.2868276704030833,0.10337642915812452,-1.003504161414084,0.7800962845834382,-0.8951700855251992,-1.5245062742010065,-1.3772344304149342,-0.47582349800470064,1.0148007402658334,-0.16582094230747244,-0.31425696728098146,-0.522777750931316,-0.7971145550486305,-1.0231989698517185,-0.5814592596469612,-0.1401146293438601,-0.49467593778033364,0.9374362944340789,0.0795601389548841,-0.7606569076684386,-0.9427448307006772,-0.33246642549858413,0.44927545281655606,-0.8582347675216224,-0.026973103547561904,-0.1802269326983953,-0.3799986207169334,-1.1598979944960077,-0.383444205997991,-0.21473625223106282,-0.5916953002571992,-1.0033810068354445,-0.38673605166567615,-0.8371122055997687,0.29096610763992103,0.08967477706860465,-1.3358831932432949,0.10113142303072722,1.2434872883497632,-1.0892597759502667,-0.836800570697098,-1.22312039345107,-0.8273614389759738,0.11135219083021794,-2.1790782384542786,-0.7166709028819163,0.9372536958326483,0.8197428436955542,1.120018429198962,-0.5901446880683394,-0.24504419856201332,0.9866505200441662,-1.2030489626309027,-1.6347003481652689,-1.7928564973742218,1.2350264365386343,0.03739832719118641
rational,0.2936334143455201,-0.710215186519303,-0.1344736804210226,-0.5158231989570351,0.29144854818305405,-1.4742817857481292,-0.07796760602475675,-1.778277818191,-1.6941427117670045,-1.4984962630716108,-2.133226030450666,-0.0551207690068953,-0.34070976323355606,-0.2714559322652375,0.8453952668030862,0.5889381358291411,0.18158818826098047,-1.1102787530162108,-0.5444869481742496,-1.2098793310577203,-1.068665697111709,-1.2432634864320942,-0.7563625530218386,-1.2755177696321356,-0.22651936974733491,-1.9233199491344648,-1.3922631146277509,0.2206803661783485,-0.4213634786053428,-0.09725739334845743,-0.6468525412778637,0.4462289117149071,1.8845236920758448,-0.18382785825886505,-0.7405493974365391,0.8587137387620409,-0.9500921533567632,-1.0723283869305247,0.429076670819862,-1.0733770541911205,-1.4367288354979684,-1.530757102711114,-0.9504171022082494,-1.308328824997072,-1.3730503271248515,-0.9803245994882126,-1.7495886079717615,-1.254946312096815,-1.3207813568373925,0.1376050251336685,0.47508895637759907,0.5219442913727128,-0.5815002534754193,-1.6311830740254045,-1.2228613086759854,-0.6124178084160058,0.6374273455014762,-1.3365361813156005,-2.0481827588580614,-0.7005549867658936,-0.32970037997626533,-0.7986978611735729,-1.3415213841146854,-0.17042862348549723,1.8331125782645856,-1.322496017088844,0.7416100446116598,-1.1455271460274727,-0.18998011255357183,-1.0731434692751902,-0.2918101470288273,-0.2627918137478911,-0.13525523326385472,-1.5643575591619736,0.26044223488546986,0.05489451572438861,0.7018688450613817,0.34424178830096447,-0.1676420673193544,1.7706478179388352,1.180381584002077,-1.1211914277978117,-1.1332206122824524,-1.7277344610908154,-0.4338725973425068,-0.3510230997336987,-2.2094365029899743,-0.8805567906257142,-5.6697932513719776e-05,-0.5248892121019558,-0.3376356997357694,-0.5990238744024858,-1.4048835682439955,-0.15011401430136795,-1.454902748084294,-1.7534116348022353,-2.0992119970827976,-0.8590190109981254,-0.3264611528899817
insulting,-0.7274399415212331,-0.43684396900893,-1.9698263707640122,-1.2297228817124881,-1.0788159606842298,-1.3090923154892196,-1.2716146891464737,-0.421691357058979,-0.4436654123280117,0.04751079314843621,-0.11026944401275206,-1.1074483880320773,-0.6556984622820973,-1.739652347392016,-2.04235011535548,-1.1128468310782527,-1.4695510070079651,-0.5056918922494176,-0.356831956256074,-1.4650815317846375,0.28242501236532647,-1.1438373016804193,-0.7046772998488491,-1.0214350485407313,-1.3508625682926088,-1.4692176057913633,-2.0371049838635655,-1.5807807670862009,-1.3784738931634426,-1.5919285788640556,-1.5304349784935753,-1.2524488441666999,-0.19337585884142208,-0.2260449819896226,-1.413094774695147,-1.8054772813013722,-1.9702104107441083,-1.4128123048824772,-1.905755596922897,-1.535425887602777,-1.4974677791780815,-0.46271487719119675,-2.0133625970413442,-0.7819847291777527,-0.6138573499881675,-2.634761970889475,-0.9625440364894945,-1.8767174481392876,-1.8952531621488937,0.45764132786621264,0.35012814708818174,-0.7700243807218218,-0.8204570112745281,-1.8602149403919246,-0.27301459568523057,-1.8947861958417047,-0.9026042026365189,-1.8930473420300586,-0.6614389058826821,-1.7739928680903037,-2.015053329373141,-1.4256224376541913,-1.146541908626736,-1.5800313427274595,-0.4195863937803992,-1.2250683865513303,-1.1200051856712592,-1.4180866448657488,-1.6250350070068151,-0.7846536106049089,-0.03518932235169286,0.04708192950786886,0.9962118455271286,0.0009648669465206775,-0.04795270563976917,-0.9430841717571216,-0.8065932303851543,-0.15668219761386679,0.1750375068547206,-1.1103820385344276,-1.1943935305404711,-0.30700039805195267,-0.22194408155872652,-1.6930181244656173,-1.3604350267728897,-0.5016071256696525,-0.5479369207536515,-1.2531212886565948,-2.057053499502746,-1.1078896259893731,-1.279017825224649,0.08162500301033423,-0.6615663569720994,-1.9397159351782722,-1.7600761749906537,0.4172136356354587,-0.019397069553643814,-1.2772073371775952,-0.6600531079247217
moderate,-0.473796352881273,-1.1040500224009073,-0.924098438791032,-1.146836561734449,-0.1534893117338907,-0.5509626079506642,-0.3611311631960837,-1.206842526793966,-1.1403868551303935,-1.0124971952310042,-1.681820600639814,-0.8634084181912252,0.1607606267317134,-0.6438917503163142,-0.1403693644319589,0.0651265825913687,-0.08312061702425383,-0.9453616246958527,-0.8118047045565545,-0.5808614001583071,-1.5040956845273759,-0.9408561554083626,-0.8362670910556951,-0.9425607635755165,-0.46068176639182123,-1.5799403140487027,-0.6854209535342843,0.1357074839280115,-0.9485511159889309,0.20681218142801985,-0.2724632673763188,-0.5744620084925166,0.6093057158689025,-0.45551604906365695,-0.8242083147462201,-0.6213267088256227,-0.13297067785897312,-0.8120093764926026,0.13029642723692292,-1.3374587076959525,-0.5390429730858374,-1.7813271678511051,-0.8114330303345372,-0.9435537694441114,-1.305461180398937,0.15881051110305378,-1.3079823164097375,-1.0538246343690783,-0.8695819710451014,0.08557954421961257,-0.012110110124710582,-0.15977449657727405,-1.0018784319973104,-0.9469517410603171,-1.5732392943208118,-0.6973500326001845,-0.6030050065690219,-0.8483116294892048,-1.631784867629445,-1.0786632903918525,0.05605593011825793,-0.9313498466437582,-1.1851402330342315,-0.5936416658425268,-0.07952337436065442,-1.1296074225495036,-0.17753058112940426,-1.0316215413033205,-0.8953767430958346,-0.8789683678270735,-1.1231107543230638,-0.9569258962176987,1.0543004164763023,-0.8940430648084815,-0.12679451671084324,-0.3473138189504679,-0.3994178803343514,0.49192641045884594,-1.276157888968413,-0.4617608255467736,0.2553093022140432,-1.0720923917367415,-0.6885982078897837,-1.302932610463369,-0.21266478791229718,-1.151576470682648,-1.0187783181287635,-0.9253863394609971,-1.0589990283549577,-0.5547056353986728,-0.6705415949519576,-0.3133374550435784,-1.4741575006500192,-0.578672265012235,-0.9074937391431392,-1.337520987890232,-1.7462472176277353,-1.1860789111819943,-0.7714728542949565
discouraging,-2.3834186475099073,-2.0152346562735737,-2.8426203087484607,-2.408962130166765,-3.0860378423540102,-2.8262211160193678,-3.4130074873482292,-3.123872132559967,-2.947422308884392,-2.651652176129362,-3.239811641534398,-2.1043494249612373,-1.4731776490734427,-1.5417072375321341,-1.7035141535229448,-2.52502719570204,-1.742204538247448,-3.267252321090044,-3.0136672306214187,-2.5767815025541934,-2.385127897183876,-3.355722041746625,-1.4701763231084615,-2.86387847866375,-2.486268791933025,-3.216082811970391,-2.7658756271852183,-1.915193769831954,-2.68091396205038,-0.7238995638172891,-2.240160779183196,-3.0464771706830027,-1.5764263402061458,-1.0982762813680493,-2.68234761521207,-2.915534986672187,-1.875235397267103,-2.453938039570043,-2.9577998233813476,-3.0362268863577113,-2.31157342035797,-2.861891385049663,-2.135702333008115,-1.7904739418974422,-2.6168041978264003,-2.002935015588675,-2.6060125129781895,-3.0384182186892223,-3.6155651173532637,-1.8397371883013593,-1.7419149878241045,-3.203069404176143,-2.0818344772480213,-3.313425118632496,-3.6429031402427223,-2.72193219284045,-1.8985132448775288,-2.5089142553793287,-2.6687757503941416,-2.8613947164153184,-2.1516641345602316,-2.6349713855114403,-2.447302089624434,-2.8388095068932575,-2.3796713313877236,-2.379220461340896,-2.1981064447734857,-2.7882819208662415,-2.7192332822001037,-2.3624552491024704,-2.927775916596874,-3.004946164873043,-2.289675735526292,-1.4997359915440558,-2.192115756017941,-1.7738865602854685,-2.4397452312261994,-1.038963284785509,-1.487570801447318,-2.6629711828979783,-2.481462075323561,-2.3379870284792954,-1.1646808844248646,-2.6020479634360356,-2.27060214374389,-2.0676987284664348,-3.3580385714334375,-2.8572446057911187,-3.566717048531999,-1.8403232939860743,-2.347776522182301,-2.0137229569196244,-2.525423535569335,-2.6999778170684645,-2.6049247408433795,-3.0798701321814552,-3.0882199561962778,-2.4423514598763805,-1.9273757432007845
smooth,-0.7836657553670882,-0.9699938581737493,-1.1164433681542039,-2.0426896702309443,-0.750141235914607,-1.1311041102700805,-0.27851178364513246,-0.7178336427073527,-0.4361034763115504,-0.6551141590076122,-0.8520308917889368,-0.6621954711518758,-1.5189984812461421,-0.6380661677240302,-0.8635271400422109,-0.4244853161713796,-0.5987971101344272,-1.1549306721471027,-0.46426790551870323,-1.0010577651818684,-0.7010741264191489,-1.1231043906779206,-1.3047938425055259,-0.9911642979125637,-1.0673011196727975,-0.1319405437284874,-1.088172789734581,-0.8894840912293894,-1.0638545558899324,0.07272121316135902,-1.7771771368541478,-1.5008536511061763,-1.7659453751508403,-1.3435682854573745,-1.1155006178374378,-0.9949063654643815,-2.2167657434772092,-2.0161152791261188,-0.3996835148315482,-1.597790249932465,-1.318233268983886,-0.766508559381971,-1.723223538768766,-1.711479043887542,-0.5371190591980144,-2.218538693879641,-1.4574137263901765,-1.4437361764349645,-0.7479665442806029,-1.7499148055354774,-1.4080070443627926,-0.5995256009841408,-1.6529718948974181,-0.5452564859120937,-1.106251420303969,-0.47496768705842846,-0.47179558173314,-1.2255220747408817,-1.5954951732764364,-1.5455427637717294,-2.0173996793152567,-1.5414070477144644,-1.3651133075124204,-1.438730330315547,-2.0517686970407434,-1.3539832425613534,-1.651266275579687,-1.4834068827278237,-0.2450505453741251,-1.0631163654594578,-1.248317436377948,-1.1188853445053901,-0.9053060209269532,-1.2306024242335583,-1.501794599711043,-0.9717694521003304,-2.193919630523722,-0.9473537551965442,-0.5888909766123123,-1.9367278964093664,-1.3418730985077334,-0.8124835819375693,-0.3809243517837121,-0.876697282154482,0.3353348593249122,-0.9529689402196606,-0.3364869594726468,-0.6950978671483353,-1.0170099970316961,-1.6042169439032155,-2.1628520215612115,-0.9078861393392119,-1.1492021147277238,-1.9531503503482353,-0.960066587649795,-0.5603457922385303,-0.7551506831018661,-0.8008013016334274,-2.055490654516938
gloomy,-1.543588526027283,-1.75855913859012,-1.8101946578107049,-1.6241939119540278,-2.899326856147364,-1.3802706467850685,-1.3426739092444062,-1.9605498803672103,-1.5215997220335093,-1.2482804441050888,-1.4527531670793672,-1.3808886743820787,-2.049717742045284,-1.1550865800474643,-2.228214650346122,-1.9094875357077488,-1.4821880341232212,-1.51019657509692,-1.6622335914877653,-0.8928526249219161,-1.36309892225387,-2.423630085572957,-2.502600682170709,-1.8281697659228384,-1.9646765227745489,-1.9226244749550516,-3.124571559480446,-0.7586606032496226,-2.1667673646480514,-2.0769292124647865,-2.335416707189633,-1.7216788943961394,-0.7427765582753907,-1.6195506574711447,-1.7184688861355906,-1.8896736852014313,-1.076375524312004,-2.31147000652443,-1.7925373771753081,-1.9645008262173154,-0.891290141565469,-2.271410191666057,-1.111647466217741,-2.8095096557565493,-1.6008165066130176,-1.341650417132634,-1.5544471275275302,-2.4673155996772898,-1.8601368320993565,-1.666777399537574,-1.369278194649302,-2.0872313508734655,-1.470157069628995,-1.8733241879295597,-1.5247614203715636,-1.0128601055036006,-1.62659327340836,-1.7132222575253162,-2.0995119161921614,-1.9134201974367984,-2.879794795290988,-2.01238522132296,-0.7891158096344031,-1.985787878038851,-0.8589397949948183,-1.6976206348187395,-1.7087150497905472,-2.3273122735743934,-2.4382602214530746,-1.6622872006232763,-2.217622524302147,-1.304860619614641,-1.741361006013995,-1.014740900140067,-1.1402198527299074,-1.784918212045437,-1.9642329010121302,-1.3573367408668202,-2.0748764912760254,-1.5428708973056353,-1.6947548391871388,-1.0579111594639767,-1.421779651336986,-1.7688817909938381,-1.9904540317830621,-0.9523851383919126,-2.0348010225773643,-2.2077294401433694,-2.072290582861163,-1.3330669405525615,-2.463999388033626,-1.9816260452699808,-0.8170542082317844,-2.777798767094852,-2.4403624336150704,-1.2185088426153616,-1.7770368569540627,-1.0407230506866043,-1.4062897204107703
skeptical,-0.1100297042018525,-0.7899908621728429,-0.9165124204918177,-0.37038373184307627,-0.09905320696996782,-0.7348000927084558,-0.5679766388653812,-0.7765907744992007,-0.9353003472828217,-0.778680013275989,-1.0538295729467333,-0.2647708128505692,-0.10320587136564917,-0.7860753185290769,-0.3072359183610336,-0.4872113840118513,-0.193334416689664,-1.0326897991909016,-1.2063972461661892,-0.8812161431342747,-0.5127075318637248,-0.8324195384198482,-0.36424376041401113,-1.1781507150431156,-0.5224042252886728,-1.788954742630052,-0.8888093550777653,0.9264975965730469,-0.8545860679836504,-0.041842833368423135,-0.16283264592061267,-0.22996260788354628,1.3334336494300032,0.4148565278724026,-0.46020791639681985,-0.2676652349167367,-0.4815558434118337,-0.5231907737927451,-0.3181363702845476,-0.6839720364080653,-0.6139131256793017,-1.0327994623282124,-0.6633445181348818,-0.4939647358706854,-1.2079293944357303,-0.9913850117758364,-1.2953815981803671,-1.2476530568434279,-1.0158353945755658,1.0279387198402383,0.9228981620654799,-0.30798098644436195,0.15706648763126677,-1.8815597272923739,-0.09715617571820592,-0.7774975400602903,-0.04435328069743186,-1.2951266984137106,-1.1392866329248803,-0.939338224744139,0.3675943325082699,0.12129721225411765,-1.063160064145266,-0.2300928123598407,1.1452116469062217,-0.26388404404115595,0.9913254930038782,-0.5660191537631064,-0.6738318690264021,-0.847437720394744,-0.01062485532658363,-0.19898465663638246,-0.5901256493725079,-0.4525238296250442,0.297652758389818,0.11864558827345228,0.8807560634864903,1.9223510339513346,0.34648056877256056,1.1441957188104654,0.23865248589881735,-0.9704983444849841,-0.4565090518985811,-1.7228166349347387,-1.226036108459131,-0.41923235009256277,-1.7875871518410682,-0.8156806988571672,-0.6224366163552894,-0.10399338800691968,0.016644256213465294,0.40742258744829474,-0.7312321468677028,-0.19231936861004803,-0.3628504022579307,-0.9696241618958916,-1.092992621145232,-0.9246314892013701,-0.10552938398883309
unrealistic,-0.7866919974491728,-1.1284596482482139,-0.9724897619165396,-0.7073418948889376,-1.4542124792172004,-2.0317369212876577,-1.157520115243335,-1.801799606090166,-2.0076404284010567,-1.9657461933747944,-1.4052686037568027,-1.1223480600338198,-0.965714888172673,-0.9546365012444746,-1.022010573189206,-0.9720337347722476,-0.8062794100398533,-2.282767533376194,-1.9471344663332437,-2.008959623287822,-1.3479869073294155,-1.4883653426917804,-0.8514714040194508,-1.867254465082839,-1.1633132464148714,-1.544914129633793,-1.7397765076698612,-0.91638566344649,-0.4862257978779219,-0.14681596811870212,-0.773030147581543,-1.215967828548052,0.31994064905200603,-1.0682233864264328,-1.7643488482980256,-1.0903924646426784,-1.5897007514640327,-0.9846991586463923,-1.0499549396015937,-1.9468550370453162,-1.8534556441159336,-0.9958946155663965,-1.758892358756929,-1.4131893265315276,-0.9674814900363681,-0.8754174372459252,-1.327729054479116,-0.8715378300064831,-1.8998740353633412,-0.3097587986695303,-1.4996818240401073,-1.2035010332123663,-1.30120422726306,-1.509611549252755,-1.40815004146559,-2.102810480416726,-0.6717734284440793,-1.9128621975465196,-0.881316911019659,-1.2510137798323597,-0.8520755202627899,-1.076190320977719,-0.8885728447774692,-1.5287251026825506,-0.5502416019466643,-0.9239308174505703,-1.1364157274656372,-1.3939735906629935,-0.8995355495012517,-1.6342173598550314,-1.7087731319215058,-1.7853859172072277,-0.045929239230613546,-1.7596417930199535,-1.1665365214014936,-0.8443379427684458,-1.0487237448393518,-0.19302630587782788,0.13925217776921797,-0.8280051614562175,-1.5989281554562385,-1.0642301931089277,-1.4269558410565704,-1.5553354373976855,-1.5283659392713471,-1.354615206343829,-0.58816478123519,-0.7423493683735449,-1.6319954748702146,-1.3083598873472924,-0.9580034204527175,-1.481415839446187,-1.9401334393736993,-1.4614848887752891,-1.2543394751590655,-1.711229982900501,-1.2957074886300728,-1.9597854619592672,-0.5894666812467407
