index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
accountant,-0.49453187343291966,-0.045289617052987674,-40.587547,-51.431824,11.982692,5.801811
air traffic controller,0.07921782961965104,-0.9655463579680124,-64.35502,-134.65991,11.001732,4.4776683
architect,-1.4334065411735317,0.21542864949082874,62.932053,0.81899905,5.9161296,7.451003
artist,-0.7598169240433617,-0.22730311175275508,-30.345058,-15.534146,12.793943,5.432116
attorney,-1.6811273450049506,-0.21155220771761152,-89.09599,-6.3497944,7.3627725,6.733077
baker,1.2644628789285985,0.9199343387724072,8.936097,122.86505,3.4429896,10.507337
banker,-0.12731760371022452,2.5606756370199726,72.465645,94.84342,4.904085,9.259148
bartender,-0.037537501973270625,-0.8614390153142529,-3.014642,-73.07593,11.201027,6.239802
barber,-0.5620787448291894,-0.33910137930984663,-47.27508,-59.843983,11.8950405,5.530221
barman,-2.699990370378099,-0.47514803902640523,165.14981,29.72758,6.8724,9.666755
barmaid,6.12244321201519,-1.2165952582045185,-70.2908,247.91429,1.5819081,13.362822
bookkeeper,-0.6621301305519477,0.7005217914828342,61.06352,46.184677,5.840385,8.412331
broadcaster,-0.7993200609370753,-0.8666305333555158,-12.421895,-101.13302,10.060561,6.1577525
builder,-2.8237770894740417,0.16045624942097425,151.86612,45.288197,6.663364,9.812135
businessperson,-1.9281342364715885,0.43929658277890865,-89.13808,20.572973,6.9868836,7.086228
businessman,-0.6784467702202498,0.868278285340757,69.615425,41.044113,5.8049955,8.352611
businesswoman,6.551579557489363,-1.370322971398866,-78.76934,242.98326,1.6701504,13.274767
butcher,0.3219250239594201,2.4011067531731065,58.27206,103.52824,4.2541714,9.720921
captain,-1.0985908259812522,1.8022764497365054,78.872154,69.78043,5.648757,8.891083
carpenter,-1.4831029079450684,0.8810023923478754,23.83249,16.10974,5.2593555,7.615281
cashier,-0.5493631260559952,0.025794467479327923,-29.218813,-48.642433,11.887523,5.9718375
