,sport,beverage,direct_correlation,indirect_correlation,same_correlation
0,football,water,-0.5965357346952979,-0.08690718975761269,True
1,football,coffee,0.08509041064171283,-0.06224740100351876,False
2,football,tea,-0.8422776947341752,-0.2234319898130915,True
3,football,juice,-0.08533981562051272,-0.14788801067953775,True
4,football,milk,-1.2361668503579892,-0.21822883727716916,True
5,football,soda,0.19714349157211306,0.040543163569544606,True
6,football,alcohol,0.06506664607656346,0.051178726486147665,True
7,football,liquor,-0.7630546761184497,0.09383182151997413,False
8,football,beer,1.1788759908611928,0.2925660378255499,True
9,football,wine,-1.0426012487892984,-0.05947777406450649,True
10,football,vodka,-0.03212069432403571,0.02917622187724913,False
11,football,whiskey,-0.0058744231368814065,0.2887156718997739,False
12,football,champagne,0.2419321736379656,-0.2499586978389849,False
13,basketball,water,0.4330419859558662,-0.014322039794552726,False
14,basketball,coffee,0.4980206121300935,-0.0690627532889622,False
15,basketball,tea,-0.9663614274498744,-0.24804543146409105,True
16,basketball,juice,1.2440512566261146,-0.11237947980739574,False
17,basketball,milk,-0.7222857344586963,-0.2352290804291005,True
18,basketball,soda,1.4699866788928182,0.045922242605884143,True
19,basketball,alcohol,-0.4723665854079842,0.016408711055905592,False
20,basketball,liquor,-0.3844740677321004,0.051659170400198656,False
21,basketball,beer,1.0349942733101192,0.2945938120849281,True
22,basketball,wine,-1.2118901675326608,-0.12266971169225932,True
23,basketball,vodka,-0.05835739853235707,-0.014336429871026532,True
24,basketball,whiskey,0.0847247866058262,0.2817027476517396,True
25,basketball,champagne,0.35648822859491164,-0.27906042539937065,False
26,cricket,water,-0.27654961760918034,-0.0443848885176229,True
27,cricket,coffee,-0.1458444262330583,-0.0297785855260166,True
28,cricket,tea,1.2650954625624855,-0.0776737634382095,False
29,cricket,juice,-0.5026199091806038,-0.07627497108037372,True
30,cricket,milk,-1.0891389959717022,-0.13510881681949174,True
31,cricket,soda,-0.8465075056650571,0.035063326796839066,False
