index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
football,-0.16100843110001936,0.032374484291751465,-177.15188999999998,119.43948,14.566689499999999,3.9858648999999997
basketball,-0.13231851129642858,0.05807681853993976,-209.98053,49.583805,13.817657,4.4153
cricket,-0.09439527546854178,-0.055430226116670166,-76.020645,86.17166999999999,13.333056,3.8230190000000004
hockey,-0.2556013491473225,-0.07600167930570713,-113.03714,7.043038,14.108145,3.2576928
tennis,0.11875985921244335,-0.12737076802192726,30.768390000000004,-128.11786,8.469521499999999,1.5415448
volleyball,0.1761469458768641,0.02607655523027386,42.257446,-269.95306,6.971937,0.7650236
table tennis,0.12132487426632856,-0.048380560314223456,75.49923000000001,-170.23148999999998,7.906044500000001,1.9276218
martial arts,0.16214375321761665,0.19212196266264456,-114.55178000000001,-331.21585,5.8308153,0.7693904
baseball,-0.1784081870285658,-0.028808586910668437,-131.51328,67.85505,13.886298000000002,3.7316663
american football,-0.019393497356609567,0.2138554344134343,-345.68427,29.161009000000004,14.007211999999999,5.387579
rugby,-0.22115433144452887,-0.009129743090464191,-157.50912,208.21999,14.685673999999999,3.5790292999999997
golf,-0.1219240768069991,-0.14040643231928535,171.15132,212.17983999999998,11.573763,5.7299394999999995
athletics,-0.037888701029696034,0.07812150488130805,-284.78577,63.2215,14.326135,5.0639443
badminton,-0.08249506259230721,0.06961622001589612,26.191004,291.1169,11.617026,6.1438537
boxing,0.10019852919949848,0.09592380763148917,-29.978765000000003,-241.14685,6.514046,1.1140922
Formula One,0.27982195706758745,-0.18237234326108745,180.80289,-279.6684,7.9276979999999995,1.1658600000000001
MotoGP,0.3581862757461716,-0.11162083595323972,170.52283,-336.0185,8.104669,0.76529694
cycling,0.21679155888429955,-0.009008965115619437,162.18214,-226.3866,7.5050364,1.3385081
swimming,-0.12563454057682336,0.05380118834169978,-223.9783,89.57271,14.519804999999998,4.312577200000001
snooker,-0.028643487893492886,-0.10871686135570366,130.82176,203.84691,11.250983999999999,5.6745825
shooting,-0.08215312125037574,-0.14244916603159805,2.4287083,37.29783,12.8287525,3.520736
gymnastics,0.2143701355327578,0.19170214479266826,-148.57565,-306.3149,5.7827897,0.8907927
handball,0.10548673489394796,0.03589465210750286,15.224185999999998,-225.99972999999997,7.068988,1.2326511
wrestling,-0.17841504440913655,0.0901814963415594,-227.48427,-12.446206,14.137757,4.473171700000001
skiing,0.033432388532097346,-0.1307992088422596,74.30421,-99.04469,8.527600999999999,2.018798
horse racing,0.0816936668822306,0.17184015026001265,-94.300415,-273.95844,6.010184,0.58700395
horling,-0.1087449808511336,-0.0005557873223910574,49.700256,243.16782,11.1381645,6.0374136
pickleball,-0.1911509215223076,-0.02313636096457556,-151.197,168.39627,14.471487,3.4584427000000004
water polo,0.14520114533002684,-0.06872157623016174,112.315704,-196.46263000000002,7.813751700000001,1.7379738999999998
bowling,-0.09422830486758199,-0.046677318354598214,90.83201600000001,241.72052000000002,11.295563000000001,6.2228900000000005
