sport,trait,direct_correlation,indirect_correlation,same_correlation
football,witty,-0.8544440612287758,0.004900468139846206,False
football,compassionate,-1.8797559486841526,0.05220328762756421,False
football,rational,-1.1827574585828087,0.19492175001254408,False
football,insulting,-0.04125632209646971,0.07564634814384888,False
football,moderate,-0.5743363028570628,0.06031333194547595,False
football,discouraging,0.6958034308453638,-0.015412152727478114,False
football,smooth,-0.4481965818823943,-0.029791736718646038,True
football,gloomy,-0.7126976777357589,-0.02854495253286189,True
football,skeptical,-1.1369878835796796,0.052075856275304,False
football,unrealistic,-0.19267017023643693,-0.14729509234306998,True
football,shrewd,-1.2152121743582318,0.10074048858738399,False
football,modest,-0.8179618238643471,0.009121905080987739,False
football,energetic,-0.046693223939936156,-0.1434074017806887,True
football,impractical,-0.6221255199236663,-0.08366277133679906,True
football,cold,-0.517913484469196,-0.05911964965172145,True
football,skillful,-1.3751284429090402,0.0068190811271700924,False
football,criminal,-0.45739476468039986,0.18078612386180332,False
football,dependent,-1.1908597840557535,-0.043166185180816746,True
football,systematic,-0.9771959966078688,0.016544667682920025,False
football,faithful,-2.1723401059540057,0.08544601522333742,False
football,honorable,-1.87096809582766,0.10312475974633727,False
football,elegant,-0.7546417932279865,-0.2500794133864163,True
football,misguided,-0.8818886647744285,0.12339877122216078,False
football,outrageous,-0.7474701219926022,-0.0702621346344832,True
football,steadfast,-2.5246163597285225,0.0031548069194435977,False
football,benevolent,-1.6337777204412305,0.1306464428921437,False
football,constant,-0.19215230545132683,-0.047842493934911794,True
football,vulnerable,-1.184150330751541,-0.07314014322962528,True
football,careless,-0.7712898925014815,0.1345117289436343,False
football,confident,0.02114879678938844,0.04545856001194121,True
football,enthusiastic,-0.1424278949746811,0.04741849589676687,False
football,accessible,-0.8403952275944645,-0.11340551495704812,True
football,conscientious,-1.164515509441104,0.0719828604678208,False
football,passionate,-0.4078774117099371,-0.021788340047954834,True
football,mystical,-1.6162812991576307,0.03317333250500983,False
football,ripped,0.6452576327929053,0.07148907932764864,True
football,reflective,-1.5439111247916295,0.06170738653446411,False
football,miserable,-0.23996114143706626,-0.05950780118433726,True
football,odd,-0.5602201330467543,0.13838403935634677,False
football,eloquent,-1.9692606592649151,0.09599151356172567,False
football,surprising,-1.2435401756146263,-0.04750029880583624,True
football,tough,-0.07809136092801128,-0.032096778741371436,True
football,progressive,-1.0961054547696771,0.044343147482099096,False
football,upright,-0.9484219548594919,0.042525339803237534,False
football,brittle,-0.8386517009130647,-0.2183420717130068,True
football,decent,-0.1992554395055438,0.019420485356858135,False
football,impressive,-0.3715098007754314,-0.04549450145154097,True
football,youthful,0.049643476647561136,-0.051817165405053274,False
football,stiff,0.10873740833426075,0.07621651647439222,True
football,intelligent,-0.07276662160585823,0.13433227900172034,False
football,unstable,-1.0060698374862511,-0.07192252280355416,True
football,competitive,0.7110454997952904,-0.03618479454127077,False
football,arrogant,0.08932516996045738,0.18009143308519218,True
football,fearful,-1.1386897592418777,-0.012925141198010016,True
football,flexible,-0.6419754615601807,-0.09301288560532006,True
football,private,-0.6328802131027967,0.03718933858555315,False
football,dull,-0.7958834463609918,-0.062250596203927776,True
football,liberal,-0.14285857484228315,0.16544319873593635,False
football,disciplined,-1.0461866716041384,0.186176394779856,False
football,ordinary,-0.1310966271244449,0.04869969971734184,False
football,playful,-0.7006901776751664,-0.06846329803745613,True
football,organized,-0.393357922676933,-0.23025696367672874,True
football,fair,-0.31768293952577636,0.04625535330465625,False
football,directed,-1.062560498359106,0.239263293126097,False
