index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
football,1.282589847997355,-0.09545006861451477,55.50811,-121.86531,2.531732,13.123438
basketball,1.9192688975331251,-0.06535854905563843,73.76555,-159.62877,3.0176241,13.758991
cricket,0.4924008169195728,0.023149878291073366,56.98904,-0.29983982,2.8798559,11.37632
hockey,0.9915192830912475,-0.7614303056596543,-7.683362,-103.39694,2.769282,12.017823
tennis,-2.1879852712378822,-1.0020009898213986,-17.919937,230.01501,2.4315827,7.7358174
volleyball,-0.923220706323001,1.1374938274075184,-181.86304,-55.166527,7.174887,13.188151
table tennis,-1.3798689755284377,-0.8083475888354754,-26.753504,196.58884,2.589823,8.081188
martial arts,-0.5386344121764777,2.230424518599166,-219.87692,-91.15447,7.504,13.464022
baseball,1.2184742444999264,-0.12014546033722995,25.868713,-115.1006,2.542021,12.422499
american football,2.8380282635816028,-0.16145672680706025,72.483025,-224.0359,3.496764,13.529796
rugby,0.06483881230869626,-0.7148865331318306,40.471012,62.68836,2.6349094,10.262313
golf,-0.6810389302528207,-1.089324706553375,92.33667,181.12413,1.8973675,9.110076
athletics,1.1517738246012077,0.02801998178510581,56.50032,-62.54841,3.106728,12.761795
badminton,0.46078701414421147,-0.7638617147503699,102.335976,91.50653,2.0334277,10.21139
boxing,-0.04324345534296816,1.1627731026979466,-144.80382,-64.947136,6.524941,12.959396
Formula One,-2.2051937187822683,-1.1946513433988568,-65.876686,210.67502,2.9871206,7.782108
MotoGP,-2.6872484562668295,0.5775381104743782,-36.650158,261.22614,2.7570896,7.5219007
cycling,-0.6841106540422843,-0.8990183284503255,-39.713287,92.44615,3.0803123,9.364236
swimming,1.4823452780862794,0.20999655190860306,93.09196,-133.49182,2.8298144,13.39031
snooker,-1.0127847362993045,-0.3166325822939621,60.120274,149.45285,1.8615342,8.649365
shooting,0.01758995099004205,0.02661640708480314,111.49509,9.763166,2.586815,11.137184
gymnastics,-1.5149960100913995,1.8787867004692997,-232.81573,-63.4989,7.298323,13.51118
handball,-0.8677719907170817,0.8223304845489777,-166.68578,-32.75681,6.9024377,12.8344755
wrestling,2.464391354818466,-0.05008333322119594,93.144066,-193.1152,3.2690966,13.824329
skiing,-0.8666599678790706,-0.26018139833011394,-26.421143,155.56554,3.0643682,8.783458
horse racing,0.8404009404214934,1.41235244366118,-107.838264,-87.411514,6.102332,12.937202
horling,0.4790045689202443,-0.27449391478163543,66.95819,34.01883,2.143917,11.015502
pickleball,0.5215320280860629,0.057880202531944994,85.054344,-8.121901,2.2493138,11.528858
water polo,-0.41276493128612435,-0.2036397621991033,-31.02809,120.30752,2.9947462,9.180659
bowling,-0.21942290977358686,-0.7863989032182551,83.21283,123.69065,1.8110613,9.547191
